id_visita,id_delegado,id_medico,fecha
V011719,DEL001,MED1424,2024-01-04
V012654,DEL020,MED1518,2024-01-04
V012705,DEL002,MED1521,2024-01-04
V012942,DEL036,MED1546,2024-01-04
V013497,DEL003,MED1593,2024-01-04
V013609,DEL031,MED1603,2024-01-04
V014446,DEL036,MED1686,2024-01-04
V014765,DEL048,MED1717,2024-01-04
V014877,DEL001,MED1736,2024-01-04
V015197,DEL024,MED1775,2024-01-04
V016117,DEL011,MED1883,2024-01-04
V016705,DEL009,MED1971,2024-01-04
V016892,DEL040,MED1997,2024-01-04
V002612,DEL050,MED0337,2024-01-05
V002793,DEL018,MED0353,2024-01-05
V003016,DEL041,MED0376,2024-01-05
V003106,DEL002,MED0386,2024-01-05
V003485,DEL014,MED0431,2024-01-05
V006012,DEL003,MED0736,2024-01-05
V006507,DEL047,MED0801,2024-01-05
V006745,DEL036,MED0833,2024-01-05
V007823,DEL015,MED0970,2024-01-05
V009113,DEL022,MED1099,2024-01-05
V009263,DEL024,MED1111,2024-01-05
V009290,DEL026,MED1113,2024-01-05
V009468,DEL039,MED1144,2024-01-05
V009968,DEL027,MED1195,2024-01-05
V011464,DEL049,MED1399,2024-01-05
V011859,DEL033,MED1436,2024-01-05
V011993,DEL021,MED1446,2024-01-05
V012528,DEL011,MED1501,2024-01-05
V012917,DEL016,MED1543,2024-01-05
V013978,DEL018,MED1633,2024-01-05
V015027,DEL049,MED1756,2024-01-05
V015075,DEL023,MED1763,2024-01-05
V015808,DEL021,MED1849,2024-01-05
V016003,DEL033,MED1872,2024-01-05
V000455,DEL002,MED0058,2024-01-06
V001520,DEL031,MED0190,2024-01-06
V001771,DEL035,MED0215,2024-01-06
V001973,DEL004,MED0246,2024-01-06
V002177,DEL017,MED0279,2024-01-06
V002303,DEL042,MED0297,2024-01-06
V002795,DEL018,MED0353,2024-01-06
V003248,DEL029,MED0402,2024-01-06
V003287,DEL011,MED0404,2024-01-06
V003530,DEL038,MED0434,2024-01-06
V003711,DEL049,MED0452,2024-01-06
V003751,DEL034,MED0456,2024-01-06
V005037,DEL023,MED0623,2024-01-06
V005715,DEL049,MED0709,2024-01-06
V007381,DEL005,MED0905,2024-01-06
V007926,DEL023,MED0976,2024-01-06
V008169,DEL045,MED1000,2024-01-06
V008831,DEL023,MED1076,2024-01-06
V009376,DEL023,MED1127,2024-01-06
V009683,DEL038,MED1175,2024-01-06
V009705,DEL033,MED1177,2024-01-06
V011831,DEL044,MED1435,2024-01-06
V011865,DEL033,MED1436,2024-01-06
V011998,DEL021,MED1446,2024-01-06
V012319,DEL042,MED1476,2024-01-06
V012811,DEL006,MED1540,2024-01-06
V014113,DEL004,MED1649,2024-01-06
V014752,DEL048,MED1717,2024-01-06
V015026,DEL049,MED1756,2024-01-06
V015625,DEL009,MED1818,2024-01-06
V016389,DEL025,MED1931,2024-01-06
V016635,DEL021,MED1958,2024-01-06
V001435,DEL006,MED0167,2024-01-07
V001698,DEL040,MED0210,2024-01-07
V002789,DEL018,MED0353,2024-01-07
V003570,DEL033,MED0439,2024-01-07
V003914,DEL007,MED0475,2024-01-07
V005169,DEL028,MED0648,2024-01-07
V005187,DEL039,MED0650,2024-01-07
V005458,DEL029,MED0680,2024-01-07
V006539,DEL028,MED0803,2024-01-07
V006707,DEL026,MED0829,2024-01-07
V006854,DEL023,MED0846,2024-01-07
V007460,DEL014,MED0918,2024-01-07
V008319,DEL040,MED1016,2024-01-07
V008753,DEL049,MED1071,2024-01-07
V009240,DEL047,MED1110,2024-01-07
V010673,DEL050,MED1288,2024-01-07
V013000,DEL019,MED1556,2024-01-07
V015631,DEL009,MED1818,2024-01-07
V015818,DEL020,MED1850,2024-01-07
V015836,DEL011,MED1853,2024-01-07
V016186,DEL001,MED1893,2024-01-07
V016591,DEL041,MED1954,2024-01-07
V000969,DEL008,MED0114,2024-01-08
V001752,DEL016,MED0214,2024-01-08
V002449,DEL043,MED0310,2024-01-08
V003165,DEL018,MED0388,2024-01-08
V003318,DEL050,MED0406,2024-01-08
V003395,DEL016,MED0415,2024-01-08
V003465,DEL025,MED0429,2024-01-08
V004414,DEL018,MED0543,2024-01-08
V004598,DEL035,MED0566,2024-01-08
V005611,DEL011,MED0700,2024-01-08
V005625,DEL023,MED0701,2024-01-08
V006058,DEL013,MED0748,2024-01-08
V006995,DEL025,MED0865,2024-01-08
V007279,DEL043,MED0895,2024-01-08
V007386,DEL005,MED0905,2024-01-08
V007869,DEL034,MED0972,2024-01-08
V007986,DEL023,MED0983,2024-01-08
V008358,DEL015,MED1024,2024-01-08
V008806,DEL042,MED1075,2024-01-08
V009417,DEL017,MED1136,2024-01-08
V010787,DEL004,MED1308,2024-01-08
V011354,DEL013,MED1385,2024-01-08
V011562,DEL028,MED1408,2024-01-08
V011604,DEL045,MED1414,2024-01-08
V013379,DEL004,MED1588,2024-01-08
V013947,DEL003,MED1632,2024-01-08
V014159,DEL029,MED1655,2024-01-08
V014277,DEL002,MED1674,2024-01-08
V014428,DEL008,MED1685,2024-01-08
V014662,DEL004,MED1705,2024-01-08
V015031,DEL049,MED1756,2024-01-08
V016082,DEL001,MED1876,2024-01-08
V000245,DEL024,MED0038,2024-01-09
V000647,DEL025,MED0075,2024-01-09
V001161,DEL011,MED0137,2024-01-09
V001641,DEL019,MED0200,2024-01-09
V002613,DEL050,MED0337,2024-01-09
V002614,DEL050,MED0337,2024-01-09
V002882,DEL040,MED0358,2024-01-09
V005029,DEL023,MED0623,2024-01-09
V005031,DEL023,MED0623,2024-01-09
V006901,DEL049,MED0852,2024-01-09
V007355,DEL021,MED0901,2024-01-09
V007704,DEL038,MED0958,2024-01-09
V008122,DEL049,MED0994,2024-01-09
V008859,DEL049,MED1077,2024-01-09
V009115,DEL029,MED1100,2024-01-09
V009466,DEL039,MED1144,2024-01-09
V010252,DEL041,MED1223,2024-01-09
V010297,DEL038,MED1233,2024-01-09
V010659,DEL003,MED1287,2024-01-09
V011004,DEL023,MED1350,2024-01-09
V012243,DEL016,MED1466,2024-01-09
V013917,DEL013,MED1631,2024-01-09
V013942,DEL003,MED1632,2024-01-09
V014500,DEL016,MED1693,2024-01-09
V015005,DEL018,MED1754,2024-01-09
V015182,DEL019,MED1774,2024-01-09
V000073,DEL007,MED0016,2024-01-10
V001135,DEL033,MED0134,2024-01-10
V001548,DEL048,MED0191,2024-01-10
V001985,DEL004,MED0246,2024-01-10
V003147,DEL018,MED0388,2024-01-10
V003384,DEL006,MED0411,2024-01-10
V003494,DEL014,MED0431,2024-01-10
V003822,DEL038,MED0466,2024-01-10
V004144,DEL034,MED0514,2024-01-10
V004961,DEL004,MED0619,2024-01-10
V005052,DEL050,MED0626,2024-01-10
V005400,DEL046,MED0674,2024-01-10
V005911,DEL029,MED0729,2024-01-10
V006021,DEL030,MED0739,2024-01-10
V006882,DEL031,MED0848,2024-01-10
V007168,DEL003,MED0885,2024-01-10
V007640,DEL006,MED0952,2024-01-10
V008452,DEL040,MED1036,2024-01-10
V008877,DEL016,MED1078,2024-01-10
V009239,DEL047,MED1110,2024-01-10
V009627,DEL022,MED1170,2024-01-10
V009996,DEL019,MED1199,2024-01-10
V010135,DEL033,MED1213,2024-01-10
V010724,DEL002,MED1299,2024-01-10
V011035,DEL043,MED1356,2024-01-10
V011597,DEL025,MED1413,2024-01-10
V012195,DEL036,MED1461,2024-01-10
V013660,DEL007,MED1610,2024-01-10
V013934,DEL003,MED1632,2024-01-10
V014230,DEL035,MED1670,2024-01-10
V014851,DEL022,MED1734,2024-01-10
V015025,DEL049,MED1756,2024-01-10
V015747,DEL050,MED1839,2024-01-10
V001462,DEL020,MED0173,2024-01-11
V002183,DEL048,MED0280,2024-01-11
V002490,DEL014,MED0317,2024-01-11
V002975,DEL010,MED0370,2024-01-11
V003261,DEL029,MED0402,2024-01-11
V004879,DEL026,MED0600,2024-01-11
V005318,DEL031,MED0667,2024-01-11
V005551,DEL030,MED0690,2024-01-11
V007795,DEL024,MED0968,2024-01-11
V009142,DEL036,MED1102,2024-01-11
V009997,DEL019,MED1199,2024-01-11
V010011,DEL019,MED1199,2024-01-11
V010460,DEL025,MED1249,2024-01-11
V010729,DEL002,MED1299,2024-01-11
V010750,DEL028,MED1303,2024-01-11
V011104,DEL018,MED1364,2024-01-11
V012278,DEL026,MED1470,2024-01-11
V012890,DEL049,MED1542,2024-01-11
V013517,DEL026,MED1596,2024-01-11
V014755,DEL048,MED1717,2024-01-11
V014953,DEL042,MED1747,2024-01-11
V015655,DEL029,MED1823,2024-01-11
V016014,DEL011,MED1874,2024-01-11
V016489,DEL002,MED1944,2024-01-11
V000128,DEL020,MED0022,2024-01-12
V000655,DEL001,MED0076,2024-01-12
V001797,DEL032,MED0218,2024-01-12
V001823,DEL008,MED0224,2024-01-12
V002024,DEL041,MED0251,2024-01-12
V003709,DEL049,MED0452,2024-01-12
V003797,DEL017,MED0458,2024-01-12
V004996,DEL006,MED0622,2024-01-12
V005619,DEL023,MED0701,2024-01-12
V008196,DEL019,MED1001,2024-01-12
V010146,DEL044,MED1214,2024-01-12
V010491,DEL043,MED1260,2024-01-12
V010809,DEL003,MED1310,2024-01-12
V011026,DEL043,MED1356,2024-01-12
V011313,DEL023,MED1381,2024-01-12
V011605,DEL045,MED1414,2024-01-12
V012106,DEL006,MED1453,2024-01-12
V013469,DEL018,MED1592,2024-01-12
V013532,DEL049,MED1600,2024-01-12
V014231,DEL035,MED1670,2024-01-12
V015229,DEL031,MED1777,2024-01-12
V016164,DEL025,MED1891,2024-01-12
V000094,DEL023,MED0019,2024-01-13
V000134,DEL020,MED0022,2024-01-13
V000587,DEL022,MED0069,2024-01-13
V000939,DEL021,MED0113,2024-01-13
V001674,DEL018,MED0204,2024-01-13
V002456,DEL025,MED0311,2024-01-13
V002589,DEL047,MED0332,2024-01-13
V002790,DEL018,MED0353,2024-01-13
V003146,DEL018,MED0388,2024-01-13
V003317,DEL050,MED0406,2024-01-13
V003440,DEL016,MED0424,2024-01-13
V003732,DEL008,MED0453,2024-01-13
V004000,DEL015,MED0486,2024-01-13
V004733,DEL011,MED0580,2024-01-13
V006932,DEL006,MED0859,2024-01-13
V007561,DEL040,MED0931,2024-01-13
V007639,DEL006,MED0952,2024-01-13
V007867,DEL034,MED0972,2024-01-13
V008414,DEL020,MED1032,2024-01-13
V010156,DEL013,MED1215,2024-01-13
V010970,DEL021,MED1339,2024-01-13
V012815,DEL006,MED1540,2024-01-13
V014011,DEL043,MED1635,2024-01-13
V014157,DEL029,MED1655,2024-01-13
V014253,DEL017,MED1672,2024-01-13
V015689,DEL048,MED1827,2024-01-13
V016263,DEL024,MED1901,2024-01-13
V000458,DEL002,MED0058,2024-01-14
V000591,DEL022,MED0069,2024-01-14
V001476,DEL023,MED0175,2024-01-14
V001767,DEL035,MED0215,2024-01-14
V002768,DEL019,MED0350,2024-01-14
V004024,DEL026,MED0487,2024-01-14
V004664,DEL018,MED0573,2024-01-14
V004883,DEL026,MED0600,2024-01-14
V005341,DEL045,MED0670,2024-01-14
V005382,DEL026,MED0673,2024-01-14
V005899,DEL024,MED0728,2024-01-14
V006514,DEL047,MED0801,2024-01-14
V006516,DEL047,MED0801,2024-01-14
V006784,DEL031,MED0837,2024-01-14
V007370,DEL005,MED0905,2024-01-14
V007826,DEL015,MED0970,2024-01-14
V008054,DEL012,MED0991,2024-01-14
V008664,DEL049,MED1058,2024-01-14
V009313,DEL002,MED1118,2024-01-14
V009754,DEL002,MED1180,2024-01-14
V010039,DEL033,MED1200,2024-01-14
V010261,DEL018,MED1225,2024-01-14
V011704,DEL001,MED1424,2024-01-14
V012345,DEL021,MED1481,2024-01-14
V013269,DEL038,MED1582,2024-01-14
V013876,DEL024,MED1624,2024-01-14
V014257,DEL026,MED1673,2024-01-14
V014311,DEL015,MED1675,2024-01-14
V015793,DEL012,MED1844,2024-01-14
V016570,DEL039,MED1951,2024-01-14
V016861,DEL048,MED1986,2024-01-14
V000041,DEL012,MED0011,2024-01-15
V000043,DEL012,MED0011,2024-01-15
V000249,DEL024,MED0038,2024-01-15
V000265,DEL018,MED0040,2024-01-15
V000631,DEL039,MED0073,2024-01-15
V002065,DEL001,MED0266,2024-01-15
V003215,DEL019,MED0396,2024-01-15
V004525,DEL047,MED0555,2024-01-15
V004719,DEL009,MED0578,2024-01-15
V004866,DEL043,MED0599,2024-01-15
V005807,DEL027,MED0719,2024-01-15
V006129,DEL048,MED0751,2024-01-15
V006224,DEL013,MED0758,2024-01-15
V007760,DEL049,MED0964,2024-01-15
V007905,DEL045,MED0973,2024-01-15
V008741,DEL049,MED1071,2024-01-15
V009337,DEL007,MED1119,2024-01-15
V011226,DEL046,MED1369,2024-01-15
V011607,DEL045,MED1414,2024-01-15
V011938,DEL014,MED1439,2024-01-15
V011939,DEL014,MED1439,2024-01-15
V012210,DEL041,MED1464,2024-01-15
V013105,DEL034,MED1564,2024-01-15
V014530,DEL021,MED1697,2024-01-15
V014753,DEL048,MED1717,2024-01-15
V015728,DEL009,MED1837,2024-01-15
V000022,DEL042,MED0006,2024-01-16
V000075,DEL007,MED0016,2024-01-16
V000459,DEL002,MED0058,2024-01-16
V001227,DEL033,MED0147,2024-01-16
V001874,DEL018,MED0228,2024-01-16
V001910,DEL035,MED0233,2024-01-16
V002023,DEL041,MED0251,2024-01-16
V002363,DEL034,MED0301,2024-01-16
V002409,DEL010,MED0308,2024-01-16
V002412,DEL010,MED0308,2024-01-16
V003839,DEL003,MED0467,2024-01-16
V005290,DEL050,MED0665,2024-01-16
V007311,DEL041,MED0896,2024-01-16
V008094,DEL047,MED0993,2024-01-16
V009065,DEL006,MED1096,2024-01-16
V009628,DEL022,MED1170,2024-01-16
V010777,DEL004,MED1308,2024-01-16
V010954,DEL028,MED1335,2024-01-16
V011391,DEL042,MED1389,2024-01-16
V011394,DEL048,MED1391,2024-01-16
V011720,DEL001,MED1424,2024-01-16
V011894,DEL019,MED1437,2024-01-16
V012010,DEL021,MED1446,2024-01-16
V012362,DEL031,MED1487,2024-01-16
V012664,DEL037,MED1519,2024-01-16
V012798,DEL003,MED1530,2024-01-16
V012964,DEL048,MED1550,2024-01-16
V013865,DEL024,MED1624,2024-01-16
V014690,DEL038,MED1710,2024-01-16
V014927,DEL034,MED1746,2024-01-16
V015069,DEL021,MED1761,2024-01-16
V015239,DEL031,MED1777,2024-01-16
V000015,DEL039,MED0003,2024-01-17
V000104,DEL007,MED0020,2024-01-17
V000325,DEL016,MED0043,2024-01-17
V000467,DEL002,MED0058,2024-01-17
V001063,DEL045,MED0127,2024-01-17
V001434,DEL006,MED0167,2024-01-17
V002035,DEL020,MED0255,2024-01-17
V002354,DEL014,MED0300,2024-01-17
V002635,DEL019,MED0340,2024-01-17
V004501,DEL017,MED0554,2024-01-17
V005296,DEL050,MED0665,2024-01-17
V006300,DEL021,MED0769,2024-01-17
V007205,DEL003,MED0886,2024-01-17
V007371,DEL005,MED0905,2024-01-17
V008231,DEL035,MED1005,2024-01-17
V008630,DEL030,MED1053,2024-01-17
V009942,DEL013,MED1194,2024-01-17
V010201,DEL017,MED1221,2024-01-17
V010257,DEL018,MED1225,2024-01-17
V010624,DEL048,MED1284,2024-01-17
V010976,DEL031,MED1341,2024-01-17
V011030,DEL043,MED1356,2024-01-17
V011315,DEL023,MED1381,2024-01-17
V011407,DEL001,MED1392,2024-01-17
V011918,DEL036,MED1438,2024-01-17
V012626,DEL007,MED1516,2024-01-17
V013251,DEL005,MED1578,2024-01-17
V014315,DEL015,MED1675,2024-01-17
V014906,DEL008,MED1743,2024-01-17
V015002,DEL048,MED1753,2024-01-17
V015194,DEL024,MED1775,2024-01-17
V015634,DEL009,MED1818,2024-01-17
V001118,DEL033,MED0134,2024-01-18
V002939,DEL010,MED0368,2024-01-18
V003414,DEL020,MED0417,2024-01-18
V004057,DEL006,MED0496,2024-01-18
V005181,DEL039,MED0650,2024-01-18
V005380,DEL026,MED0673,2024-01-18
V005895,DEL046,MED0727,2024-01-18
V005912,DEL029,MED0729,2024-01-18
V006326,DEL038,MED0771,2024-01-18
V006587,DEL043,MED0811,2024-01-18
V006612,DEL049,MED0815,2024-01-18
V007309,DEL041,MED0896,2024-01-18
V009757,DEL002,MED1180,2024-01-18
V011892,DEL019,MED1437,2024-01-18
V013914,DEL013,MED1631,2024-01-18
V014410,DEL022,MED1681,2024-01-18
V014492,DEL016,MED1693,2024-01-18
V015524,DEL038,MED1808,2024-01-18
V015537,DEL038,MED1808,2024-01-18
V016119,DEL011,MED1883,2024-01-18
V002201,DEL024,MED0283,2024-01-19
V002230,DEL007,MED0287,2024-01-19
V004274,DEL005,MED0530,2024-01-19
V004555,DEL034,MED0557,2024-01-19
V004558,DEL034,MED0557,2024-01-19
V004827,DEL044,MED0593,2024-01-19
V005128,DEL024,MED0639,2024-01-19
V005158,DEL044,MED0644,2024-01-19
V009318,DEL007,MED1119,2024-01-19
V010450,DEL043,MED1248,2024-01-19
V010922,DEL037,MED1334,2024-01-19
V010923,DEL037,MED1334,2024-01-19
V012615,DEL011,MED1513,2024-01-19
V013792,DEL038,MED1621,2024-01-19
V014418,DEL039,MED1684,2024-01-19
V014853,DEL022,MED1734,2024-01-19
V015135,DEL035,MED1769,2024-01-19
V000410,DEL002,MED0051,2024-01-20
V000435,DEL048,MED0055,2024-01-20
V001658,DEL039,MED0202,2024-01-20
V002152,DEL013,MED0275,2024-01-20
V002731,DEL008,MED0345,2024-01-20
V002940,DEL010,MED0368,2024-01-20
V003313,DEL050,MED0406,2024-01-20
V003597,DEL001,MED0442,2024-01-20
V003913,DEL007,MED0475,2024-01-20
V004005,DEL015,MED0486,2024-01-20
V004554,DEL034,MED0557,2024-01-20
V004748,DEL026,MED0581,2024-01-20
V005574,DEL005,MED0694,2024-01-20
V005599,DEL001,MED0699,2024-01-20
V005939,DEL018,MED0730,2024-01-20
V008461,DEL040,MED1036,2024-01-20
V008898,DEL008,MED1080,2024-01-20
V009655,DEL009,MED1171,2024-01-20
V010281,DEL038,MED1229,2024-01-20
V010812,DEL021,MED1311,2024-01-20
V011386,DEL016,MED1387,2024-01-20
V012530,DEL011,MED1501,2024-01-20
V014638,DEL010,MED1703,2024-01-20
V015669,DEL044,MED1825,2024-01-20
V015730,DEL009,MED1837,2024-01-20
V000273,DEL018,MED0040,2024-01-21
V000515,DEL047,MED0062,2024-01-21
V000720,DEL028,MED0084,2024-01-21
V001067,DEL045,MED0127,2024-01-21
V001099,DEL009,MED0130,2024-01-21
V002352,DEL014,MED0300,2024-01-21
V002957,DEL010,MED0368,2024-01-21
V003229,DEL023,MED0398,2024-01-21
V003279,DEL011,MED0404,2024-01-21
V003880,DEL043,MED0471,2024-01-21
V004097,DEL024,MED0504,2024-01-21
V004172,DEL017,MED0517,2024-01-21
V004276,DEL005,MED0530,2024-01-21
V004474,DEL020,MED0549,2024-01-21
V005292,DEL050,MED0665,2024-01-21
V006036,DEL021,MED0743,2024-01-21
V006483,DEL035,MED0796,2024-01-21
V006580,DEL043,MED0811,2024-01-21
V006835,DEL027,MED0844,2024-01-21
V007060,DEL024,MED0869,2024-01-21
V007433,DEL044,MED0910,2024-01-21
V007487,DEL030,MED0922,2024-01-21
V008494,DEL010,MED1038,2024-01-21
V008501,DEL033,MED1041,2024-01-21
V009399,DEL014,MED1132,2024-01-21
V010107,DEL005,MED1208,2024-01-21
V010671,DEL050,MED1288,2024-01-21
V014111,DEL004,MED1649,2024-01-21
V014958,DEL012,MED1749,2024-01-21
V015149,DEL035,MED1769,2024-01-21
V016779,DEL011,MED1977,2024-01-21
V000194,DEL044,MED0029,2024-01-22
V001225,DEL033,MED0147,2024-01-22
V002108,DEL013,MED0272,2024-01-22
V002166,DEL037,MED0278,2024-01-22
V002272,DEL023,MED0292,2024-01-22
V002478,DEL008,MED0315,2024-01-22
V005174,DEL008,MED0649,2024-01-22
V005237,DEL004,MED0661,2024-01-22
V006531,DEL028,MED0803,2024-01-22
V007305,DEL041,MED0896,2024-01-22
V007812,DEL006,MED0969,2024-01-22
V008715,DEL038,MED1065,2024-01-22
V009943,DEL013,MED1194,2024-01-22
V010239,DEL026,MED1222,2024-01-22
V010251,DEL041,MED1223,2024-01-22
V010335,DEL033,MED1239,2024-01-22
V010725,DEL002,MED1299,2024-01-22
V011325,DEL027,MED1382,2024-01-22
V011976,DEL001,MED1445,2024-01-22
V012082,DEL045,MED1450,2024-01-22
V012193,DEL036,MED1461,2024-01-22
V012357,DEL006,MED1486,2024-01-22
V012393,DEL009,MED1491,2024-01-22
V012423,DEL003,MED1492,2024-01-22
V012684,DEL036,MED1520,2024-01-22
V015922,DEL050,MED1860,2024-01-22
V016338,DEL001,MED1915,2024-01-22
V001356,DEL006,MED0161,2024-01-23
V002763,DEL046,MED0347,2024-01-23
V003493,DEL014,MED0431,2024-01-23
V003618,DEL018,MED0446,2024-01-23
V003641,DEL043,MED0447,2024-01-23
V003764,DEL014,MED0457,2024-01-23
V003767,DEL014,MED0457,2024-01-23
V004476,DEL020,MED0549,2024-01-23
V004966,DEL004,MED0619,2024-01-23
V005540,DEL033,MED0689,2024-01-23
V005557,DEL030,MED0690,2024-01-23
V005979,DEL048,MED0732,2024-01-23
V007400,DEL050,MED0906,2024-01-23
V009173,DEL039,MED1103,2024-01-23
V011108,DEL018,MED1364,2024-01-23
V012387,DEL009,MED1491,2024-01-23
V013103,DEL034,MED1564,2024-01-23
V016657,DEL001,MED1959,2024-01-23
V000230,DEL026,MED0037,2024-01-24
V000888,DEL049,MED0108,2024-01-24
V001297,DEL024,MED0157,2024-01-24
V001353,DEL006,MED0161,2024-01-24
V001491,DEL008,MED0181,2024-01-24
V002219,DEL007,MED0287,2024-01-24
V003151,DEL018,MED0388,2024-01-24
V003315,DEL050,MED0406,2024-01-24
V004242,DEL039,MED0527,2024-01-24
V004625,DEL048,MED0572,2024-01-24
V005183,DEL039,MED0650,2024-01-24
V005446,DEL029,MED0680,2024-01-24
V005501,DEL005,MED0686,2024-01-24
V005796,DEL027,MED0719,2024-01-24
V006169,DEL027,MED0752,2024-01-24
V006285,DEL021,MED0769,2024-01-24
V008752,DEL049,MED1071,2024-01-24
V011358,DEL013,MED1385,2024-01-24
V011858,DEL033,MED1436,2024-01-24
V012844,DEL017,MED1541,2024-01-24
V014640,DEL010,MED1703,2024-01-24
V014793,DEL016,MED1720,2024-01-24
V015022,DEL049,MED1756,2024-01-24
V015365,DEL015,MED1789,2024-01-24
V016068,DEL001,MED1876,2024-01-24
V016514,DEL021,MED1945,2024-01-24
V016885,DEL033,MED1996,2024-01-24
V000130,DEL020,MED0022,2024-01-25
V000201,DEL013,MED0031,2024-01-25
V000572,DEL021,MED0067,2024-01-25
V000886,DEL049,MED0108,2024-01-25
V001022,DEL008,MED0125,2024-01-25
V002269,DEL023,MED0292,2024-01-25
V002694,DEL030,MED0342,2024-01-25
V003364,DEL023,MED0408,2024-01-25
V006471,DEL035,MED0796,2024-01-25
V007508,DEL030,MED0926,2024-01-25
V009094,DEL020,MED1098,2024-01-25
V010411,DEL032,MED1244,2024-01-25
V010629,DEL048,MED1284,2024-01-25
V010720,DEL049,MED1298,2024-01-25
V010966,DEL026,MED1338,2024-01-25
V011513,DEL024,MED1404,2024-01-25
V012163,DEL038,MED1459,2024-01-25
V014376,DEL043,MED1678,2024-01-25
V014689,DEL038,MED1710,2024-01-25
V015258,DEL039,MED1778,2024-01-25
V015265,DEL039,MED1778,2024-01-25
V015766,DEL025,MED1842,2024-01-25
V016154,DEL013,MED1890,2024-01-25
V016545,DEL047,MED1947,2024-01-25
V000394,DEL018,MED0050,2024-01-26
V001084,DEL028,MED0128,2024-01-26
V001319,DEL036,MED0158,2024-01-26
V001323,DEL036,MED0158,2024-01-26
V001739,DEL024,MED0211,2024-01-26
V001768,DEL035,MED0215,2024-01-26
V002465,DEL041,MED0313,2024-01-26
