id_medico,mes,unidades_categoria,unidades_producto
MED0009,2024-08,101,21
MED0009,2024-09,100,21
MED0009,2024-10,113,22
MED0009,2024-11,107,22
MED0009,2024-12,101,20
MED0009,2025-01,115,23
MED0009,2025-02,95,21
MED0009,2025-03,101,18
MED0009,2025-04,98,19
MED0009,2025-05,127,26
MED0009,2025-06,107,22
MED0009,2025-07,96,19
MED0009,2025-08,111,25
MED0009,2025-09,98,21
MED0009,2025-10,122,24
MED0009,2025-11,122,28
MED0009,2025-12,86,21
MED0010,2024-01,259,40
MED0010,2024-02,278,43
MED0010,2024-03,246,41
MED0010,2024-04,293,45
MED0010,2024-05,236,39
MED0010,2024-06,194,28
MED0010,2024-07,299,52
MED0010,2024-08,247,44
MED0010,2024-09,275,47
MED0010,2024-10,250,45
MED0010,2024-11,274,44
MED0010,2024-12,287,50
MED0010,2025-01,243,40
MED0010,2025-02,272,52
MED0010,2025-03,274,50
MED0010,2025-04,287,46
MED0010,2025-05,275,54
MED0010,2025-06,295,47
MED0010,2025-07,276,46
MED0010,2025-08,266,49
MED0010,2025-09,235,38
MED0010,2025-10,261,47
MED0010,2025-11,255,38
MED0010,2025-12,198,36
MED0011,2024-01,920,242
MED0011,2024-02,893,190
MED0011,2024-03,1092,271
MED0011,2024-04,998,207
MED0011,2024-05,1010,237
MED0011,2024-06,977,224
MED0011,2024-07,1057,256
MED0011,2024-08,964,219
MED0011,2024-09,809,199
MED0011,2024-10,854,226
MED0011,2024-11,901,191
MED0011,2024-12,874,213
MED0011,2025-01,950,223
MED0011,2025-02,926,239
MED0011,2025-03,1007,230
MED0011,2025-04,987,229
MED0011,2025-05,1101,269
MED0011,2025-06,945,225
MED0011,2025-07,892,209
MED0011,2025-08,998,239
MED0011,2025-09,881,203
MED0011,2025-10,917,213
MED0011,2025-11,952,210
MED0011,2025-12,1040,256
MED0012,2024-01,486,60
MED0012,2024-02,476,54
MED0012,2024-03,523,68
MED0012,2024-04,543,59
MED0012,2024-05,445,50
MED0012,2024-06,441,47
MED0012,2024-07,457,52
MED0012,2024-08,424,48
MED0012,2024-09,402,41
MED0012,2024-10,421,44
MED0012,2024-11,457,50
MED0012,2024-12,462,50
MED0012,2025-01,469,57
MED0012,2025-02,557,64
MED0012,2025-03,517,48
MED0012,2025-04,465,51
MED0012,2025-05,460,59
MED0012,2025-06,503,58
MED0012,2025-07,482,47
MED0012,2025-08,467,46
MED0012,2025-09,429,50
MED0012,2025-10,383,46
MED0012,2025-11,510,62
MED0012,2025-12,395,47
MED0013,2024-01,144,33
MED0013,2024-02,145,28
MED0013,2024-03,155,34
MED0013,2024-04,167,34
MED0013,2024-05,155,32
MED0013,2024-06,157,34
MED0013,2024-07,146,28
MED0013,2024-08,144,27
MED0013,2024-09,118,21
MED0013,2024-10,141,27
MED0013,2024-11,133,26
MED0013,2024-12,121,24
MED0013,2025-01,143,19
MED0013,2025-02,162,18
MED0013,2025-03,165,20
MED0013,2025-04,150,23
MED0013,2025-05,178,25
MED0013,2025-06,128,17
MED0013,2025-07,156,22
MED0013,2025-08,127,17
MED0013,2025-09,133,17
MED0013,2025-10,136,16
MED0013,2025-11,122,14
MED0013,2025-12,167,19
MED0014,2024-01,97,15
MED0014,2024-02,118,18
MED0014,2024-03,131,21
MED0014,2024-04,122,23
MED0014,2024-05,118,20
MED0014,2024-06,109,18
MED0014,2024-07,130,20
MED0014,2024-08,118,20
MED0014,2024-09,122,21
MED0014,2024-10,110,20
MED0014,2024-11,124,20
MED0014,2024-12,128,22
MED0014,2025-01,138,26
MED0014,2025-02,126,23
MED0014,2025-03,135,22
MED0014,2025-04,140,25
MED0014,2025-05,125,24
MED0014,2025-06,128,21
MED0014,2025-07,135,26
MED0014,2025-08,146,23
MED0014,2025-09,110,20
MED0014,2025-10,105,21
MED0014,2025-11,125,24
MED0014,2025-12,121,21
MED0015,2024-01,117,12
MED0015,2024-02,125,13
MED0015,2024-03,120,14
MED0015,2024-04,130,15
MED0015,2024-05,105,13
MED0015,2024-06,123,14
MED0015,2024-07,116,12
MED0015,2024-08,99,10
MED0015,2024-09,110,13
MED0015,2024-10,97,11
MED0015,2024-11,109,14
MED0015,2024-12,98,11
MED0015,2025-01,129,14
MED0015,2025-02,141,17
MED0015,2025-03,123,13
MED0015,2025-04,103,12
MED0015,2025-05,108,11
MED0015,2025-06,109,12
MED0015,2025-07,115,12
MED0015,2025-08,120,12
MED0015,2025-09,118,14
MED0015,2025-10,121,15
MED0015,2025-11,106,12
MED0015,2025-12,104,12
MED0016,2024-01,138,32
MED0016,2024-02,150,31
MED0016,2024-03,155,32
MED0016,2024-04,137,28
MED0016,2024-05,148,32
MED0016,2024-06,147,35
MED0016,2024-07,153,40
MED0016,2024-08,145,31
MED0016,2024-09,122,27
MED0016,2024-10,129,30
MED0016,2024-11,118,27
MED0016,2024-12,131,27
MED0016,2025-01,139,29
MED0016,2025-02,163,39
MED0016,2025-03,134,34
MED0016,2025-04,170,36
MED0016,2025-05,148,32
MED0016,2025-06,145,35
MED0016,2025-07,140,31
MED0016,2025-08,147,34
MED0016,2025-09,128,33
MED0016,2025-10,134,32
MED0016,2025-11,124,28
MED0016,2025-12,147,35
MED0017,2024-01,389,72
MED0017,2024-02,485,95
MED0017,2024-03,493,105
MED0017,2024-04,457,108
MED0017,2024-05,439,89
MED0017,2024-06,454,92
MED0017,2024-07,494,110
MED0017,2024-08,380,88
MED0017,2024-09,471,106
MED0017,2024-10,452,99
MED0017,2024-11,426,91
MED0017,2024-12,465,95
MED0017,2025-01,452,92
MED0017,2025-02,418,94
MED0017,2025-03,449,104
MED0017,2025-04,502,120
MED0017,2025-05,497,90
MED0017,2025-06,517,123
MED0017,2025-07,425,80
MED0017,2025-08,401,98
MED0017,2025-09,376,69
MED0017,2025-10,431,95
MED0017,2025-11,422,95
MED0017,2025-12,536,118
MED0018,2024-01,133,18
MED0018,2024-02,136,18
MED0018,2024-03,118,16
MED0018,2024-04,146,21
MED0018,2024-05,150,22
MED0018,2024-06,128,16
MED0018,2024-07,121,17
MED0018,2024-08,129,16
MED0018,2024-09,123,17
MED0018,2024-10,122,17
MED0018,2024-11,121,17
MED0018,2024-12,111,15
MED0018,2025-01,130,18
MED0018,2025-02,133,18
MED0018,2025-03,125,16
MED0018,2025-04,135,21
MED0018,2025-05,139,19
MED0018,2025-06,127,16
MED0018,2025-07,116,17
MED0018,2025-08,109,16
MED0018,2025-09,115,18
MED0018,2025-10,126,16
MED0018,2025-11,103,13
MED0018,2025-12,114,17
MED0019,2024-01,500,102
MED0019,2024-02,651,150
MED0019,2024-03,587,107
MED0019,2024-04,509,90
MED0019,2024-05,607,111
MED0019,2024-06,641,125
MED0019,2024-07,474,106
MED0019,2024-08,579,118
MED0019,2024-09,568,98
MED0019,2024-10,567,104
MED0019,2024-11,532,92
MED0019,2024-12,617,132
MED0019,2025-01,530,105
MED0019,2025-02,565,101
MED0019,2025-03,542,104
MED0019,2025-04,664,122
MED0019,2025-05,541,90
MED0019,2025-06,498,78
MED0019,2025-07,600,95
MED0019,2025-08,516,91
MED0019,2025-09,455,80
MED0019,2025-10,511,93
MED0019,2025-11,558,88
MED0019,2025-12,499,94
MED0020,2024-01,104,20
MED0020,2024-02,100,22
MED0020,2024-03,104,20
MED0020,2024-04,116,24
MED0020,2024-05,126,24
MED0020,2024-06,106,20
MED0020,2024-07,97,23
MED0020,2024-08,99,19
MED0020,2024-09,102,21
MED0020,2024-10,89,16
MED0020,2024-11,88,19
MED0020,2024-12,110,21
MED0020,2025-01,107,24
MED0020,2025-02,100,20
MED0020,2025-03,111,23
MED0020,2025-04,116,23
MED0020,2025-05,86,19
MED0020,2025-06,99,19
MED0020,2025-07,96,20
MED0020,2025-08,77,15
MED0020,2025-09,114,25
MED0020,2025-10,94,19
MED0020,2025-11,79,15
MED0020,2025-12,99,18
MED0021,2024-01,344,77
MED0021,2024-02,365,61
MED0021,2024-03,438,95
MED0021,2024-04,421,80
MED0021,2024-05,452,97
MED0021,2024-06,396,76
MED0021,2024-07,423,88
MED0021,2024-08,381,81
MED0021,2024-09,427,82
MED0021,2024-10,385,72
MED0021,2024-11,391,73
MED0021,2024-12,360,71
MED0021,2025-01,424,104
MED0021,2025-02,409,93
MED0021,2025-03,461,92
MED0021,2025-04,356,72
MED0021,2025-05,464,108
MED0021,2025-06,396,92
MED0021,2025-07,462,104
MED0021,2025-08,436,102
MED0021,2025-09,362,92
MED0021,2025-10,376,79
MED0021,2025-11,330,75
MED0021,2025-12,342,86
MED0022,2024-01,552,140
MED0022,2024-02,524,139
MED0022,2024-03,615,166
MED0022,2024-04,610,181
MED0022,2024-05,576,161
MED0022,2024-06,610,142
MED0022,2024-07,534,142
MED0022,2024-08,610,172
MED0022,2024-09,547,133
MED0022,2024-10,500,119
MED0022,2024-11,472,130
MED0022,2024-12,529,161
MED0022,2025-01,547,151
MED0022,2025-02,564,156
MED0022,2025-03,643,181
MED0022,2025-04,680,182
MED0022,2025-05,618,180
MED0022,2025-06,529,133
MED0022,2025-07,636,177
MED0022,2025-08,504,137
MED0022,2025-09,505,136
MED0022,2025-10,486,130
MED0022,2025-11,478,124
MED0022,2025-12,530,146
MED0023,2024-01,365,69
MED0023,2024-02,403,64
MED0023,2024-03,372,69
MED0023,2024-04,328,61
MED0023,2024-05,327,60
MED0023,2024-06,340,65
MED0023,2024-07,387,80
MED0023,2024-08,429,79
MED0023,2024-09,322,54
MED0023,2024-10,264,50
MED0023,2024-11,322,67
MED0023,2024-12,345,64
MED0023,2025-01,381,83
MED0023,2025-02,444,102
MED0023,2025-03,340,69
MED0023,2025-04,407,104
MED0023,2025-05,340,70
MED0023,2025-06,364,90
MED0023,2025-07,402,88
MED0023,2025-08,356,78
MED0023,2025-09,376,84
MED0023,2025-10,362,82
MED0023,2025-11,342,81
MED0023,2025-12,347,80
MED0024,2024-01,109,23
MED0024,2024-02,123,28
MED0024,2024-03,141,33
MED0024,2024-04,113,25
MED0024,2024-05,133,26
MED0024,2024-06,123,27
MED0024,2024-07,121,23
MED0024,2024-08,105,22
MED0024,2024-09,103,22
MED0024,2024-10,117,25
MED0024,2024-11,99,20
MED0024,2024-12,118,26
MED0024,2025-01,115,22
MED0024,2025-02,123,20
MED0024,2025-03,130,20
MED0024,2025-04,111,20
MED0024,2025-05,130,25
MED0024,2025-06,123,21
MED0024,2025-07,122,21
MED0024,2025-08,121,23
MED0024,2025-09,117,20
MED0024,2025-10,95,18
MED0024,2025-11,111,21
MED0024,2025-12,112,25
MED0025,2024-01,403,73
MED0025,2024-02,439,97
MED0025,2024-03,378,79
MED0025,2024-04,529,131
MED0025,2024-05,423,86
MED0025,2024-06,478,110
MED0025,2024-07,521,104
MED0025,2024-08,389,74
MED0025,2024-09,489,97
MED0025,2024-10,472,101
MED0025,2024-11,342,77
MED0025,2024-12,347,76
MED0025,2025-01,445,104
MED0025,2025-02,476,109
MED0025,2025-03,506,89
MED0025,2025-04,417,89
MED0025,2025-05,506,108
MED0025,2025-06,511,106
MED0025,2025-07,478,107
MED0025,2025-08,434,92
MED0025,2025-09,445,100
MED0025,2025-10,431,105
MED0025,2025-11,401,97
MED0025,2025-12,460,86
MED0026,2024-01,431,66
MED0026,2024-02,463,78
MED0026,2024-03,421,56
MED0026,2024-04,519,70
MED0026,2024-05,459,60
MED0026,2024-06,529,63
MED0026,2024-07,417,53
MED0026,2024-08,393,57
MED0026,2024-09,432,65
MED0026,2024-10,409,64
MED0026,2024-11,460,59
MED0026,2024-12,512,76
MED0026,2025-01,466,51
MED0026,2025-02,410,37
MED0026,2025-03,574,70
MED0026,2025-04,521,65
MED0026,2025-05,459,52
MED0026,2025-06,540,63
MED0026,2025-07,404,43
MED0026,2025-08,391,46
MED0026,2025-09,449,57
MED0026,2025-10,455,56
MED0026,2025-11,436,46
MED0026,2025-12,429,48
MED0027,2024-01,1179,215
MED0027,2024-02,1014,185
MED0027,2024-03,1322,223
MED0027,2024-04,1136,194
MED0027,2024-05,1101,205
MED0027,2024-06,940,193
MED0027,2024-07,1142,209
MED0027,2024-08,1010,194
MED0027,2024-09,999,193
MED0027,2024-10,993,181
MED0027,2024-11,987,175
MED0027,2024-12,1028,201
MED0027,2025-01,1225,239
MED0027,2025-02,1266,256
MED0027,2025-03,1210,233
MED0027,2025-04,1168,233
MED0027,2025-05,1054,211
MED0027,2025-06,1233,234
MED0027,2025-07,913,176
MED0027,2025-08,1074,193
MED0027,2025-09,948,172
MED0027,2025-10,918,166
MED0027,2025-11,1061,205
MED0027,2025-12,1111,227
MED0028,2024-01,155,17
MED0028,2024-02,145,16
MED0028,2024-03,117,10
MED0028,2024-04,136,14
MED0028,2024-05,127,13
MED0028,2024-06,121,14
MED0028,2024-07,116,13
MED0028,2024-08,115,12
MED0028,2024-09,124,12
MED0028,2024-10,121,14
MED0028,2024-11,130,13
MED0028,2024-12,142,16
MED0028,2025-01,132,19
MED0028,2025-02,152,22
MED0028,2025-03,154,26
MED0028,2025-04,154,25
MED0028,2025-05,149,24
MED0028,2025-06,144,23
MED0028,2025-07,129,23
MED0028,2025-08,144,22
MED0028,2025-09,142,20
MED0028,2025-10,132,20
MED0028,2025-11,136,22
MED0028,2025-12,145,25
MED0029,2024-01,161,33
MED0029,2024-02,120,26
MED0029,2024-03,162,30
MED0029,2024-04,159,32
MED0029,2024-05,153,34
MED0029,2024-06,164,32
MED0029,2024-07,158,31
MED0029,2024-08,153,26
MED0029,2024-09,128,28
MED0029,2024-10,141,30
MED0029,2024-11,133,29
MED0029,2024-12,159,31
MED0029,2025-01,138,29
MED0029,2025-02,151,31
MED0029,2025-03,166,31
MED0029,2025-04,180,41
MED0029,2025-05,158,33
MED0029,2025-06,142,29
MED0029,2025-07,151,31
MED0029,2025-08,133,24
MED0029,2025-09,148,32
MED0029,2025-10,138,28
MED0029,2025-11,113,23
MED0029,2025-12,156,33
MED0030,2024-01,461,54
MED0030,2024-02,514,68
MED0030,2024-03,536,77
MED0030,2024-04,566,86
MED0030,2024-05,573,75
MED0030,2024-06,574,66
MED0030,2024-07,640,97
MED0030,2024-08,483,71
MED0030,2024-09,461,56
MED0030,2024-10,452,64
MED0030,2024-11,504,63
MED0030,2024-12,490,68
MED0030,2025-01,579,66
MED0030,2025-02,539,70
MED0030,2025-03,647,76
MED0030,2025-04,552,64
MED0030,2025-05,502,58
MED0030,2025-06,486,64
MED0030,2025-07,524,61
MED0030,2025-08,578,64
MED0030,2025-09,540,56
MED0030,2025-10,570,72
MED0030,2025-11,440,55
MED0030,2025-12,558,60
MED0031,2024-01,154,34
MED0031,2024-02,179,37
MED0031,2024-03,183,38
MED0031,2024-04,155,29
MED0031,2024-05,147,33
MED0031,2024-06,168,35
MED0031,2024-07,145,28
MED0031,2024-08,171,36
MED0031,2024-09,150,31
MED0031,2024-10,121,25
MED0031,2024-11,156,34
MED0031,2024-12,145,28
MED0031,2025-01,166,38
MED0031,2025-02,146,31
MED0031,2025-03,142,28
MED0031,2025-04,144,33
MED0031,2025-05,159,30
MED0031,2025-06,139,32
MED0031,2025-07,145,30
MED0031,2025-08,137,34
MED0031,2025-09,147,34
MED0031,2025-10,131,30
MED0031,2025-11,141,27
MED0031,2025-12,138,30
MED0032,2024-01,136,22
MED0032,2024-02,140,24
MED0032,2024-03,132,21
MED0032,2024-04,159,28
MED0032,2024-05,146,26
MED0032,2024-06,126,22
MED0032,2024-07,138,20
MED0032,2024-08,141,22
MED0032,2024-09,126,19
MED0032,2024-10,134,23
MED0032,2024-11,118,20
MED0032,2024-12,134,26
MED0032,2025-01,142,22
MED0032,2025-02,149,24
MED0032,2025-03,149,26
MED0032,2025-04,143,20
MED0032,2025-05,151,23
MED0032,2025-06,175,29
MED0032,2025-07,142,22
MED0032,2025-08,120,18
MED0032,2025-09,151,26
MED0032,2025-10,136,23
MED0032,2025-11,155,22
MED0032,2025-12,138,20
MED0033,2024-01,124,23
MED0033,2024-02,124,21
MED0033,2024-03,125,22
MED0033,2024-04,131,23
MED0033,2024-05,102,16
MED0033,2024-06,119,20
MED0033,2024-07,124,26
MED0033,2024-08,113,21
MED0033,2024-09,100,18
MED0033,2024-10,114,20
MED0033,2024-11,126,24
MED0033,2024-12,110,20
MED0033,2025-01,117,22
MED0033,2025-02,108,22
MED0033,2025-03,111,21
MED0033,2025-04,124,21
MED0033,2025-05,109,19
MED0033,2025-06,119,22
MED0033,2025-07,123,23
MED0033,2025-08,118,19
MED0033,2025-09,114,18
MED0033,2025-10,104,19
MED0033,2025-11,120,21
MED0033,2025-12,117,21
MED0034,2024-01,449,89
MED0034,2024-02,466,86
MED0034,2024-03,567,113
MED0034,2024-04,531,96
MED0034,2024-05,467,92
MED0034,2024-06,498,81
MED0034,2024-07,446,82
MED0034,2024-08,424,88
MED0034,2024-09,468,95
MED0034,2024-10,456,87
MED0034,2024-11,487,99
MED0034,2024-12,534,102
MED0034,2025-01,511,108
MED0034,2025-02,595,106
MED0034,2025-03,583,137
MED0034,2025-04,522,103
MED0034,2025-05,498,97
MED0034,2025-06,623,122
MED0034,2025-07,541,100
MED0034,2025-08,599,123
MED0034,2025-09,569,86
MED0034,2025-10,452,81
MED0034,2025-11,499,101
MED0034,2025-12,523,107
MED0035,2024-01,141,35
MED0035,2024-02,156,35
MED0035,2024-03,128,26
MED0035,2024-04,159,38
MED0035,2024-05,172,40
MED0035,2024-06,169,37
MED0035,2024-07,151,37
MED0035,2024-08,150,31
MED0035,2024-09,156,36
MED0035,2024-10,150,31
MED0035,2024-11,137,28
MED0035,2024-12,141,30
MED0035,2025-01,156,34
MED0035,2025-02,139,33
MED0035,2025-03,155,34
MED0035,2025-04,186,34
MED0035,2025-05,140,28
MED0035,2025-06,174,39
MED0035,2025-07,156,29
MED0035,2025-08,146,29
MED0035,2025-09,144,28
MED0035,2025-10,149,30
MED0035,2025-11,144,32
MED0035,2025-12,144,30
MED0036,2024-01,400,44
MED0036,2024-02,482,53
MED0036,2024-03,424,56
MED0036,2024-04,427,49
MED0036,2024-05,389,45
MED0036,2024-06,363,40
MED0036,2024-07,409,42
MED0036,2024-08,383,42
MED0036,2024-09,283,29
MED0036,2024-10,422,55
MED0036,2024-11,353,45
MED0036,2024-12,361,36
MED0036,2025-01,425,61
MED0036,2025-02,395,66
MED0036,2025-03,391,49
MED0036,2025-04,463,74
MED0036,2025-05,418,56
MED0036,2025-06,376,58
MED0036,2025-07,421,62
MED0036,2025-08,363,55
MED0036,2025-09,383,56
MED0036,2025-10,385,54
MED0036,2025-11,358,50
MED0036,2025-12,476,62
MED0037,2024-01,328,72
MED0037,2024-02,325,63
MED0037,2024-03,334,60
MED0037,2024-04,388,71
MED0037,2024-05,357,62
MED0037,2024-06,322,62
MED0037,2024-07,297,50
MED0037,2024-08,350,67
MED0037,2024-09,308,59
MED0037,2024-10,303,57
MED0037,2024-11,289,52
MED0037,2024-12,315,65
MED0037,2025-01,367,62
MED0037,2025-02,320,73
MED0037,2025-03,318,70
MED0037,2025-04,386,81
MED0037,2025-05,362,68
MED0037,2025-06,382,78
MED0037,2025-07,330,68
MED0037,2025-08,307,58
MED0037,2025-09,241,47
MED0037,2025-10,375,84
MED0037,2025-11,311,62
MED0037,2025-12,290,66
MED0038,2024-01,444,104
MED0038,2024-02,499,104
MED0038,2024-03,386,83
MED0038,2024-04,462,116
MED0038,2024-05,449,100
MED0038,2024-06,510,109
MED0038,2024-07,472,109
MED0038,2024-08,439,92
MED0038,2024-09,479,106
MED0038,2024-10,461,93
MED0038,2024-11,498,101
MED0038,2024-12,429,94
MED0038,2025-01,518,121
MED0038,2025-02,456,87
MED0038,2025-03,461,74
MED0038,2025-04,499,95
MED0038,2025-05,461,83
MED0038,2025-06,507,111
MED0038,2025-07,454,90
MED0038,2025-08,494,94
MED0038,2025-09,454,90
MED0038,2025-10,382,70
MED0038,2025-11,404,95
MED0038,2025-12,506,93
MED0039,2024-01,261,42
MED0039,2024-02,281,48
MED0039,2024-03,304,49
MED0039,2024-04,330,53
MED0039,2024-05,346,58
MED0039,2024-06,347,54
MED0039,2024-07,326,57
MED0039,2024-08,283,44
MED0039,2024-09,288,52
MED0039,2024-10,290,42
MED0039,2024-11,256,41
MED0039,2024-12,305,47
MED0039,2025-01,323,77
MED0039,2025-02,305,69
MED0039,2025-03,314,85
MED0039,2025-04,287,80
MED0039,2025-05,289,72
MED0039,2025-06,301,73
MED0039,2025-07,277,70
MED0039,2025-08,211,55
MED0039,2025-09,283,73
MED0039,2025-10,293,68
MED0039,2025-11,271,70
MED0039,2025-12,297,65
MED0040,2024-01,780,184
MED0040,2024-02,800,191
MED0040,2024-03,901,236
MED0040,2024-04,859,213
MED0040,2024-05,888,289
MED0040,2024-06,757,195
MED0040,2024-07,829,201
MED0040,2024-08,771,228
MED0040,2024-09,938,227
MED0040,2024-10,881,216
MED0040,2024-11,800,211
MED0040,2024-12,744,201
MED0040,2025-01,785,197
MED0040,2025-02,859,192
MED0040,2025-03,873,250
MED0040,2025-04,848,192
MED0040,2025-05,895,248
MED0040,2025-06,864,217
MED0040,2025-07,818,201
MED0040,2025-08,847,185
MED0040,2025-09,808,206
MED0040,2025-10,746,192
MED0040,2025-11,889,239
MED0040,2025-12,750,202
MED0041,2024-01,430,67
MED0041,2024-02,358,52
MED0041,2024-03,397,59
MED0041,2024-04,447,55
MED0041,2024-05,454,65
MED0041,2024-06,394,60
MED0041,2024-07,499,74
MED0041,2024-08,449,56
MED0041,2024-09,456,64
MED0041,2024-10,392,42
MED0041,2024-11,436,74
MED0041,2024-12,474,66
MED0041,2025-01,389,59
MED0041,2025-02,536,75
MED0041,2025-03,483,71
MED0041,2025-04,522,66
MED0041,2025-05,433,64
MED0041,2025-06,416,62
MED0041,2025-07,601,84
MED0041,2025-08,487,78
MED0041,2025-09,446,66
MED0041,2025-10,342,43
MED0041,2025-11,452,64
MED0041,2025-12,456,69
MED0042,2024-01,579,137
MED0042,2024-02,539,119
MED0042,2024-03,445,108
MED0042,2024-04,547,128
MED0042,2024-05,434,86
MED0042,2024-06,523,111
MED0042,2024-07,504,129
MED0042,2024-08,371,74
MED0042,2024-09,454,113
MED0042,2024-10,440,102
MED0042,2024-11,384,83
