id_medico,segmento_potencial,region,brick,id_delegado_asignado
MED0319,B,Levante,LEV-28,DEL034
MED0320,C,Sur,SUR-02,DEL025
MED0321,A,Centro,CEN-14,DEL048
MED0322,B,Noreste,NOR-12,DEL026
MED0323,B,Centro,CEN-04,DEL008
MED0324,B,Sur,SUR-12,DEL025
MED0325,C,Noreste,NOR-27,DEL046
MED0326,C,Levante,LEV-15,DEL024
MED0327,B,Centro,CEN-18,DEL023
MED0328,B,Centro,CEN-13,DEL048
MED0329,B,Levante,LEV-01,DEL014
MED0330,C,Noreste,NOR-21,DEL011
MED0331,C,Noreste,NOR-06,DEL041
MED0332,A,Noroeste,NOR-21,DEL047
MED0333,C,Levante,LEV-23,DEL024
MED0334,C,Centro,CEN-23,DEL048
MED0335,C,Levante,LEV-22,DEL044
MED0336,C,Levante,LEV-01,DEL049
MED0337,A,Sur,SUR-29,DEL050
MED0338,B,Sur,SUR-24,DEL020
MED0339,B,Centro,CEN-14,DEL043
MED0340,B,Levante,LEV-11,DEL019
MED0341,A,Centro,CEN-15,DEL008
MED0342,A,Sur,SUR-25,DEL030
MED0343,C,Sur,SUR-17,DEL025
MED0344,B,Noreste,NOR-24,DEL026
MED0345,A,Centro,CEN-25,DEL008
MED0346,C,Levante,LEV-29,DEL004
MED0347,C,Noreste,NOR-12,DEL046
MED0348,C,Noreste,NOR-16,DEL001
MED0349,C,Centro,CEN-26,DEL013
MED0350,C,Levante,LEV-01,DEL019
MED0351,B,Centro,CEN-23,DEL033
MED0352,B,Sur,SUR-28,DEL050
MED0353,A,Centro,CEN-15,DEL018
MED0354,A,Levante,LEV-27,DEL039
MED0355,C,Noreste,NOR-02,DEL041
MED0356,A,Sur,SUR-27,DEL050
MED0357,B,Noreste,NOR-16,DEL036
MED0358,B,Sur,SUR-06,DEL040
MED0359,B,Levante,LEV-03,DEL019
MED0360,C,Centro,CEN-24,DEL038
MED0361,C,Centro,CEN-27,DEL038
MED0362,C,Noreste,NOR-06,DEL001
MED0363,A,Noroeste,NOR-22,DEL002
MED0364,C,Levante,LEV-21,DEL039
MED0365,A,Levante,LEV-13,DEL019
MED0366,C,Centro,CEN-05,DEL023
MED0367,C,Noreste,NOR-12,DEL001
MED0368,A,Sur,SUR-27,DEL010
MED0369,C,Levante,LEV-04,DEL039
MED0370,C,Sur,SUR-19,DEL010
MED0371,C,Centro,CEN-25,DEL048
MED0372,C,Noreste,NOR-03,DEL031
MED0373,C,Centro,CEN-07,DEL023
MED0374,A,Noreste,NOR-26,DEL001
MED0375,B,Centro,CEN-21,DEL008
MED0376,C,Noreste,NOR-24,DEL041
MED0377,B,Levante,LEV-13,DEL044
MED0378,C,Noroeste,NOR-23,DEL007
MED0379,C,Noreste,NOR-25,DEL031
MED0380,C,Levante,LEV-24,DEL004
MED0381,C,Noroeste,NOR-10,DEL007
MED0382,B,Levante,LEV-07,DEL049
MED0383,A,Centro,CEN-02,DEL013
MED0384,C,Levante,LEV-25,DEL014
MED0385,C,Centro,CEN-17,DEL043
MED0386,A,Noroeste,NOR-10,DEL002
MED0387,B,Centro,CEN-23,DEL033
MED0388,A,Centro,CEN-28,DEL018
MED0389,C,Levante,LEV-08,DEL004
MED0390,B,Noroeste,NOR-09,DEL002
MED0391,B,Levante,LEV-11,DEL014
MED0392,C,Levante,LEV-24,DEL034
MED0393,B,Noreste,NOR-03,DEL036
MED0394,C,Noroeste,NOR-14,DEL027
MED0395,B,Noroeste,NOR-29,DEL012
MED0396,A,Levante,LEV-09,DEL019
MED0397,C,Noreste,NOR-19,DEL026
MED0398,B,Centro,CEN-03,DEL023
MED0399,C,Noroeste,NOR-25,DEL042
MED0400,C,Noroeste,NOR-07,DEL002
MED0401,C,Centro,CEN-28,DEL003
MED0402,A,Levante,LEV-24,DEL029
MED0403,C,Sur,SUR-10,DEL045
MED0404,A,Noreste,NOR-17,DEL011
MED0405,C,Levante,LEV-05,DEL024
MED0406,A,Sur,SUR-06,DEL050
MED0407,B,Levante,LEV-15,DEL049
MED0408,A,Centro,CEN-23,DEL023
MED0409,C,Noroeste,NOR-19,DEL002
MED0410,C,Sur,SUR-02,DEL035
MED0411,C,Noreste,NOR-22,DEL006
MED0412,C,Levante,LEV-27,DEL034
MED0413,C,Noroeste,NOR-25,DEL032
MED0414,B,Levante,LEV-29,DEL024
MED0415,C,Noreste,NOR-13,DEL016
MED0416,B,Noroeste,NOR-25,DEL002
MED0417,C,Sur,SUR-04,DEL020
MED0418,C,Sur,SUR-08,DEL050
MED0419,C,Noroeste,NOR-01,DEL002
MED0420,B,Noreste,NOR-22,DEL031
MED0421,C,Levante,LEV-08,DEL034
MED0422,C,Sur,SUR-18,DEL020
MED0423,C,Levante,LEV-26,DEL039
MED0424,B,Noreste,NOR-08,DEL016
MED0425,C,Sur,SUR-10,DEL030
MED0426,C,Noreste,NOR-02,DEL031
MED0427,B,Noroeste,NOR-21,DEL022
MED0428,B,Sur,SUR-24,DEL030
MED0429,B,Sur,SUR-20,DEL025
MED0430,C,Centro,CEN-27,DEL003
MED0431,B,Levante,LEV-08,DEL014
MED0432,B,Centro,CEN-22,DEL003
MED0433,B,Noreste,NOR-03,DEL011
MED0434,B,Centro,CEN-16,DEL038
MED0435,B,Centro,CEN-15,DEL033
MED0436,B,Levante,LEV-24,DEL029
MED0437,C,Noreste,NOR-24,DEL011
MED0438,C,Centro,CEN-24,DEL048
MED0439,B,Centro,CEN-20,DEL033
MED0440,C,Centro,CEN-05,DEL033
MED0441,B,Noreste,NOR-09,DEL036
MED0442,B,Noreste,NOR-29,DEL001
MED0443,C,Sur,SUR-09,DEL010
MED0444,B,Noroeste,NOR-02,DEL002
MED0445,C,Noreste,NOR-02,DEL041
MED0446,A,Centro,CEN-12,DEL018
MED0447,A,Centro,CEN-12,DEL043
MED0448,B,Noreste,NOR-02,DEL026
MED0449,B,Sur,SUR-25,DEL015
MED0450,C,Centro,CEN-27,DEL013
MED0451,B,Noreste,NOR-02,DEL026
MED0452,A,Levante,LEV-22,DEL049
MED0453,C,Centro,CEN-13,DEL008
MED0454,C,Centro,CEN-26,DEL033
MED0455,C,Sur,SUR-26,DEL025
MED0456,A,Levante,LEV-23,DEL034
MED0457,A,Levante,LEV-25,DEL014
MED0458,B,Noroeste,NOR-11,DEL017
MED0459,B,Noroeste,NOR-13,DEL042
MED0460,B,Centro,CEN-22,DEL003
MED0461,C,Noreste,NOR-17,DEL021
MED0462,C,Centro,CEN-04,DEL038
MED0463,C,Centro,CEN-27,DEL038
MED0464,C,Levante,LEV-27,DEL009
MED0465,C,Sur,SUR-07,DEL045
MED0466,B,Centro,CEN-26,DEL038
MED0467,A,Centro,CEN-23,DEL003
MED0468,C,Noroeste,NOR-12,DEL017
MED0469,C,Sur,SUR-03,DEL025
MED0470,C,Noroeste,NOR-11,DEL037
MED0471,A,Centro,CEN-01,DEL043
MED0472,B,Levante,LEV-22,DEL049
MED0473,C,Levante,LEV-23,DEL034
MED0474,C,Sur,SUR-17,DEL040
MED0475,A,Noroeste,NOR-03,DEL007
MED0476,C,Noreste,NOR-03,DEL001
MED0477,C,Noreste,NOR-12,DEL046
MED0478,A,Noroeste,NOR-07,DEL042
MED0479,C,Levante,LEV-15,DEL004
MED0480,C,Sur,SUR-27,DEL040
MED0481,C,Noreste,NOR-03,DEL026
MED0482,B,Levante,LEV-06,DEL009
MED0483,C,Noreste,NOR-20,DEL016
MED0484,C,Levante,LEV-14,DEL034
MED0485,B,Centro,CEN-27,DEL048
MED0486,A,Sur,SUR-14,DEL015
MED0487,B,Noreste,NOR-07,DEL026
MED0488,C,Levante,LEV-10,DEL019
MED0489,C,Noreste,NOR-19,DEL036
MED0490,A,Levante,LEV-10,DEL039
MED0491,A,Noroeste,NOR-15,DEL022
MED0492,B,Noreste,NOR-05,DEL026
MED0493,C,Noroeste,NOR-15,DEL002
MED0494,A,Centro,CEN-08,DEL028
MED0495,C,Noreste,NOR-24,DEL006
MED0496,A,Noreste,NOR-24,DEL006
MED0497,B,Levante,LEV-26,DEL034
MED0498,C,Levante,LEV-29,DEL039
MED0499,C,Centro,CEN-15,DEL043
MED0500,C,Noroeste,NOR-23,DEL017
MED0501,C,Centro,CEN-24,DEL013
MED0502,C,Sur,SUR-08,DEL035
MED0503,B,Sur,SUR-10,DEL050
MED0504,B,Levante,LEV-26,DEL024
MED0505,C,Centro,CEN-11,DEL043
MED0506,B,Levante,LEV-10,DEL029
MED0507,C,Noreste,NOR-12,DEL001
MED0508,C,Noreste,NOR-11,DEL011
MED0509,C,Levante,LEV-17,DEL049
MED0510,B,Noroeste,NOR-20,DEL047
MED0511,B,Levante,LEV-12,DEL014
MED0512,C,Centro,CEN-01,DEL013
MED0513,B,Noreste,NOR-07,DEL026
MED0514,C,Levante,LEV-26,DEL034
MED0515,C,Levante,LEV-13,DEL044
MED0516,B,Centro,CEN-01,DEL033
MED0517,A,Noroeste,NOR-08,DEL017
MED0518,B,Centro,CEN-13,DEL018
MED0519,C,Levante,LEV-20,DEL004
MED0520,B,Noreste,NOR-15,DEL046
MED0521,C,Noreste,NOR-07,DEL001
MED0522,A,Centro,CEN-16,DEL013
MED0523,B,Centro,CEN-27,DEL003
MED0524,C,Centro,CEN-07,DEL013
MED0525,B,Centro,CEN-26,DEL048
MED0526,C,Levante,LEV-15,DEL014
MED0527,A,Levante,LEV-16,DEL039
MED0528,C,Noreste,NOR-04,DEL041
MED0529,B,Levante,LEV-05,DEL029
MED0530,B,Sur,SUR-27,DEL005
MED0531,C,Sur,SUR-10,DEL050
MED0532,A,Noroeste,NOR-26,DEL027
MED0533,B,Levante,LEV-21,DEL024
MED0534,B,Centro,CEN-29,DEL023
MED0535,C,Noreste,NOR-15,DEL041
MED0536,C,Noreste,NOR-14,DEL016
MED0537,C,Noroeste,NOR-01,DEL032
MED0538,C,Centro,CEN-03,DEL043
MED0539,C,Levante,LEV-10,DEL029
MED0540,A,Noreste,NOR-20,DEL016
MED0541,C,Centro,CEN-01,DEL018
MED0542,C,Noroeste,NOR-30,DEL007
MED0543,A,Centro,CEN-22,DEL018
MED0544,B,Noroeste,NOR-22,DEL037
MED0545,C,Levante,LEV-14,DEL014
MED0546,C,Sur,SUR-20,DEL050
MED0547,B,Levante,LEV-04,DEL029
MED0548,C,Levante,LEV-14,DEL044
MED0549,B,Sur,SUR-04,DEL020
MED0550,C,Noreste,NOR-12,DEL021
MED0551,B,Levante,LEV-19,DEL004
MED0552,C,Noreste,NOR-20,DEL016
MED0553,B,Sur,SUR-20,DEL010
MED0554,C,Noroeste,NOR-26,DEL017
MED0555,A,Noroeste,NOR-11,DEL047
MED0556,C,Levante,LEV-27,DEL044
MED0557,B,Levante,LEV-12,DEL034
MED0558,B,Centro,CEN-02,DEL003
MED0559,C,Sur,SUR-04,DEL030
MED0560,B,Noreste,NOR-03,DEL026
MED0561,B,Noroeste,NOR-23,DEL022
MED0562,C,Sur,SUR-09,DEL030
MED0563,B,Sur,SUR-14,DEL010
MED0564,B,Levante,LEV-23,DEL049
MED0565,C,Levante,LEV-28,DEL044
MED0566,B,Sur,SUR-14,DEL035
MED0567,B,Centro,CEN-24,DEL018
MED0568,C,Noroeste,NOR-01,DEL012
MED0569,C,Levante,LEV-06,DEL039
MED0570,C,Centro,CEN-10,DEL028
MED0571,C,Centro,CEN-10,DEL013
MED0572,A,Centro,CEN-08,DEL048
MED0573,A,Centro,CEN-06,DEL018
MED0574,B,Levante,LEV-11,DEL014
MED0575,C,Levante,LEV-11,DEL029
MED0576,C,Centro,CEN-27,DEL008
MED0577,C,Noreste,NOR-08,DEL001
MED0578,C,Levante,LEV-11,DEL009
MED0579,B,Centro,CEN-29,DEL023
MED0580,B,Noreste,NOR-15,DEL011
MED0581,A,Noreste,NOR-03,DEL026
MED0582,C,Levante,LEV-09,DEL044
MED0583,B,Centro,CEN-06,DEL003
MED0584,B,Noroeste,NOR-06,DEL007
MED0585,B,Noreste,NOR-04,DEL001
MED0586,B,Centro,CEN-20,DEL048
MED0587,B,Centro,CEN-25,DEL008
MED0588,B,Noreste,NOR-17,DEL006
MED0589,C,Centro,CEN-23,DEL043
MED0590,C,Levante,LEV-09,DEL049
MED0591,C,Centro,CEN-14,DEL048
MED0592,C,Levante,LEV-16,DEL034
MED0593,A,Levante,LEV-12,DEL044
MED0594,C,Noroeste,NOR-25,DEL047
MED0595,C,Centro,CEN-23,DEL043
MED0596,C,Centro,CEN-22,DEL028
MED0597,B,Noreste,NOR-21,DEL011
MED0598,C,Centro,CEN-08,DEL008
MED0599,B,Centro,CEN-10,DEL043
MED0600,C,Noreste,NOR-22,DEL026
MED0601,C,Centro,CEN-14,DEL038
MED0602,C,Noreste,NOR-14,DEL036
MED0603,A,Sur,SUR-02,DEL030
MED0604,C,Centro,CEN-21,DEL038
MED0605,C,Sur,SUR-07,DEL050
MED0606,C,Noroeste,NOR-13,DEL027
MED0607,C,Sur,SUR-12,DEL010
MED0608,C,Levante,LEV-10,DEL019
MED0609,B,Noreste,NOR-30,DEL016
MED0610,A,Levante,LEV-19,DEL024
MED0611,B,Noreste,NOR-18,DEL041
MED0612,C,Centro,CEN-11,DEL023
MED0613,B,Noroeste,NOR-21,DEL007
MED0614,B,Sur,SUR-26,DEL035
MED0615,C,Noreste,NOR-06,DEL011
MED0616,A,Levante,LEV-17,DEL014
MED0617,C,Levante,LEV-26,DEL019
MED0618,B,Centro,CEN-04,DEL008
MED0619,A,Levante,LEV-15,DEL004
