id_medico,id_delegado,region,segmento,categoria_2025,cuota_2025,visitas_2025,visitas_plan,delta_visitas,delta_unidades,delta_eur
MED0507,DEL001,Noreste,C,2054,0.12,0,2,2,144,2592
MED0367,DEL001,Noreste,C,1878,0.125,0,2,2,132,2376
MED0965,DEL001,Noreste,C,1868,0.171,1,2,1,47,846
MED1535,DEL001,Noreste,C,1847,0.179,1,2,1,46,828
MED0476,DEL001,Noreste,C,1829,0.116,0,2,2,128,2304
MED0348,DEL001,Noreste,C,1824,0.112,0,2,2,128,2304
MED0641,DEL001,Noreste,C,1824,0.165,1,2,1,46,828
MED0643,DEL001,Noreste,C,1790,0.186,2,2,0,0,0
MED0521,DEL001,Noreste,C,1773,0.125,0,2,2,124,2232
MED0693,DEL001,Noreste,C,1754,0.133,0,2,2,123,2214
MED0362,DEL001,Noreste,C,1659,0.137,0,2,2,116,2088
MED1245,DEL001,Noreste,C,1561,0.131,0,2,2,109,1962
MED1744,DEL001,Noreste,C,1532,0.181,2,2,0,0,0
MED1909,DEL001,Noreste,C,1523,0.122,0,2,2,107,1926
MED0967,DEL001,Noreste,C,1508,0.135,0,1,1,68,1224
MED0799,DEL001,Noreste,C,1444,0.132,0,1,1,65,1170
MED1915,DEL001,Noreste,C,1436,0.238,4,1,-3,-75,-1350
MED0101,DEL001,Noreste,C,1411,0.189,3,1,-2,-58,-1044
MED1259,DEL001,Noreste,C,1386,0.185,1,1,0,0,0
MED0740,DEL001,Noreste,C,1339,0.11,0,1,1,60,1080
MED0940,DEL001,Noreste,C,1294,0.224,3,1,-2,-53,-954
MED1386,DEL001,Noreste,C,1284,0.123,0,1,1,58,1044
MED0107,DEL001,Noreste,C,1250,0.204,3,1,-2,-52,-936
MED1521,DEL002,Noroeste,A,13790,0.254,19,11,-8,-153,-2754
MED0058,DEL002,Noroeste,A,12920,0.236,23,10,-13,-212,-3816
MED0363,DEL002,Noroeste,A,11562,0.197,3,10,7,470,8460
MED0386,DEL002,Noroeste,A,11336,0.23,21,10,-11,-170,-3060
MED1674,DEL002,Noroeste,A,8637,0.224,13,8,-5,-106,-1908
MED1944,DEL002,Noroeste,A,7593,0.253,9,7,-2,-56,-1008
MED0897,DEL002,Noroeste,B,6288,0.228,6,6,0,0,0
MED0416,DEL002,Noroeste,B,6198,0.24,3,6,3,159,2862
MED0950,DEL002,Noroeste,B,6038,0.123,0,6,6,675,12150
MED0704,DEL002,Noroeste,B,5579,0.117,0,6,6,624,11232
MED0444,DEL002,Noroeste,B,5062,0.245,4,6,2,73,1314
MED1422,DEL002,Noroeste,B,4984,0.193,4,5,1,41,738
MED0817,DEL002,Noroeste,B,4785,0.249,4,5,1,39,702
MED0770,DEL002,Noroeste,B,4440,0.122,0,5,5,468,8424
MED1800,DEL002,Noroeste,B,4273,0.204,3,5,2,83,1494
MED0390,DEL002,Noroeste,B,4241,0.205,4,5,1,35,630
MED0247,DEL002,Noroeste,B,4095,0.146,1,5,4,248,4464
MED0046,DEL002,Noroeste,B,3915,0.19,2,5,3,139,2502
MED1299,DEL002,Noroeste,B,3536,0.196,6,4,-2,-51,-918
MED1118,DEL002,Noroeste,B,3146,0.18,4,4,0,0,0
MED0409,DEL002,Noroeste,C,2128,0.133,0,3,3,183,3294
MED1571,DEL002,Noroeste,C,1830,0.185,2,2,0,0,0
MED0051,DEL002,Noroeste,C,1756,0.288,7,2,-5,-82,-1476
MED1741,DEL002,Noroeste,C,1747,0.222,2,2,0,0,0
MED0493,DEL002,Noroeste,C,1703,0.128,0,2,2,119,2142
MED1125,DEL002,Noroeste,C,1561,0.14,0,2,2,109,1962
MED0105,DEL002,Noroeste,C,1549,0.131,0,2,2,109,1962
MED0419,DEL002,Noroeste,C,1483,0.185,1,2,1,37,666
MED0634,DEL002,Noroeste,C,1466,0.19,1,2,1,37,666
MED1325,DEL002,Noroeste,C,1447,0.195,5,2,-3,-51,-918
MED0630,DEL002,Noroeste,C,1386,0.232,4,2,-2,-38,-684
MED1180,DEL002,Noroeste,C,1371,0.281,5,2,-3,-49,-882
MED0777,DEL002,Noroeste,C,1343,0.246,2,2,0,0,0
MED0400,DEL002,Noroeste,C,1283,0.218,2,2,0,0,0
MED0009,DEL002,Noroeste,C,1278,0.209,2,2,0,0,0
MED0198,DEL002,Noroeste,C,1247,0.152,1,2,1,31,558
MED1485,DEL002,Noroeste,C,1026,0.122,0,1,1,46,828
MED0789,DEL003,Centro,A,16511,0.22,11,11,0,0,0
MED0885,DEL003,Centro,A,14585,0.206,13,10,-3,-91,-1638
MED1632,DEL003,Centro,A,13335,0.229,17,9,-8,-191,-3438
MED1492,DEL003,Centro,A,13060,0.243,16,9,-7,-172,-3096
MED1815,DEL003,Centro,A,12993,0.2,4,9,5,347,6246
MED0467,DEL003,Centro,A,9187,0.281,18,7,-11,-208,-3744
MED0558,DEL003,Centro,B,6182,0.137,1,5,4,374,6732
MED1560,DEL003,Centro,B,5539,0.182,4,5,1,45,810
MED1593,DEL003,Centro,B,5150,0.238,5,5,0,0,0
MED0523,DEL003,Centro,B,5124,0.168,4,5,1,42,756
MED1283,DEL003,Centro,B,5047,0.114,0,5,5,533,9594
MED1561,DEL003,Centro,B,5047,0.156,5,5,0,0,0
MED0432,DEL003,Centro,B,4650,0.231,4,4,0,0,0
MED0583,DEL003,Centro,B,4573,0.219,5,4,-1,-37,-666
MED0460,DEL003,Centro,B,4489,0.212,5,4,-1,-37,-666
MED0736,DEL003,Centro,B,4355,0.187,2,4,2,118,2124
MED1307,DEL003,Centro,B,3496,0.167,6,3,-3,-90,-1620
MED1625,DEL003,Centro,B,3252,0.152,1,3,2,134,2412
MED1530,DEL003,Centro,B,3036,0.221,4,3,-1,-34,-612
MED1362,DEL003,Centro,C,2359,0.131,0,2,2,165,2970
MED0401,DEL003,Centro,C,1956,0.135,1,2,1,49,882
MED0927,DEL003,Centro,C,1892,0.13,0,2,2,133,2394
MED0621,DEL003,Centro,C,1886,0.19,1,2,1,47,846
MED1531,DEL003,Centro,C,1804,0.186,1,2,1,45,810
MED1751,DEL003,Centro,C,1797,0.123,0,2,2,126,2268
MED0152,DEL003,Centro,C,1791,0.13,0,2,2,126,2268
MED0775,DEL003,Centro,C,1787,0.125,0,2,2,125,2250
MED1190,DEL003,Centro,C,1786,0.12,0,2,2,125,2250
MED1759,DEL003,Centro,C,1745,0.107,0,2,2,122,2196
MED1287,DEL003,Centro,C,1688,0.228,2,2,0,0,0
MED0813,DEL003,Centro,C,1678,0.115,0,2,2,118,2124
MED1344,DEL003,Centro,C,1659,0.141,0,2,2,116,2088
MED0886,DEL003,Centro,C,1653,0.238,6,2,-4,-69,-1242
MED1834,DEL003,Centro,C,1606,0.147,0,2,2,113,2034
MED0430,DEL003,Centro,C,1558,0.191,1,2,1,39,702
MED0253,DEL003,Centro,C,1523,0.17,1,1,0,0,0
MED0018,DEL003,Centro,C,1472,0.139,0,1,1,66,1188
MED0744,DEL003,Centro,C,1421,0.133,0,1,1,64,1152
MED1310,DEL003,Centro,C,1418,0.214,2,1,-1,-36,-648
MED1739,DEL003,Centro,C,1397,0.178,1,1,0,0,0
MED1415,DEL003,Centro,C,889,0.222,7,1,-6,-64,-1152
MED1308,DEL004,Levante,A,15147,0.22,10,11,1,36,648
MED0619,DEL004,Levante,A,13129,0.237,14,10,-4,-102,-1836
MED1649,DEL004,Levante,A,12058,0.274,20,9,-11,-206,-3708
MED0661,DEL004,Levante,A,12025,0.217,24,9,-15,-238,-4284
MED0246,DEL004,Levante,A,8232,0.214,19,7,-12,-194,-3492
MED0551,DEL004,Levante,B,6792,0.103,0,6,6,759,13662
MED1780,DEL004,Levante,B,6094,0.119,0,6,6,681,12258
MED0853,DEL004,Levante,B,5751,0.119,0,6,6,643,11574
MED1514,DEL004,Levante,B,5182,0.172,2,5,3,183,3294
MED0282,DEL004,Levante,B,5121,0.246,4,5,1,42,756
MED0787,DEL004,Levante,B,4464,0.1,0,5,5,471,8478
MED0681,DEL004,Levante,B,4165,0.192,2,4,2,113,2034
MED1500,DEL004,Levante,B,4129,0.143,1,4,3,216,3888
MED1851,DEL004,Levante,B,3975,0.219,4,4,0,0,0
MED0219,DEL004,Levante,B,3905,0.109,0,4,4,380,6840
MED1705,DEL004,Levante,B,3676,0.258,15,4,-11,-142,-2556
MED1588,DEL004,Levante,B,3599,0.288,8,4,-4,-84,-1512
MED0841,DEL004,Levante,B,2530,0.132,0,3,3,218,3924
MED1055,DEL004,Levante,C,2477,0.222,2,3,1,40,720
MED1302,DEL004,Levante,C,2033,0.178,1,2,1,51,918
MED1321,DEL004,Levante,C,1977,0.129,0,2,2,139,2502
MED0346,DEL004,Levante,C,1922,0.194,1,2,1,48,864
MED1846,DEL004,Levante,C,1866,0.137,0,2,2,131,2358
MED1105,DEL004,Levante,C,1862,0.185,1,2,1,47,846
MED1026,DEL004,Levante,C,1816,0.197,3,2,-1,-29,-522
MED1960,DEL004,Levante,C,1750,0.187,2,2,0,0,0
MED1967,DEL004,Levante,C,1685,0.139,0,2,2,118,2124
MED1992,DEL004,Levante,C,1663,0.203,2,2,0,0,0
MED0479,DEL004,Levante,C,1559,0.158,1,2,1,39,702
MED1904,DEL004,Levante,C,1462,0.105,0,2,2,103,1854
MED0389,DEL004,Levante,C,1425,0.161,1,2,1,36,648
MED0519,DEL004,Levante,C,1395,0.123,0,1,1,63,1134
MED0380,DEL004,Levante,C,1379,0.111,0,1,1,62,1116
MED0239,DEL004,Levante,C,1215,0.146,0,1,1,55,990
MED1084,DEL004,Levante,C,1206,0.118,0,1,1,54,972
MED1973,DEL005,Sur,A,11861,0.249,14,10,-4,-92,-1656
MED0530,DEL005,Sur,B,7937,0.25,11,7,-4,-99,-1782
MED0905,DEL005,Sur,B,5929,0.237,10,6,-4,-89,-1602
MED1758,DEL005,Sur,B,5911,0.22,4,6,2,85,1530
MED0694,DEL005,Sur,B,5241,0.202,2,5,3,186,3348
MED1067,DEL005,Sur,B,4879,0.21,7,5,-2,-55,-990
MED1208,DEL005,Sur,B,4691,0.272,8,5,-3,-71,-1278
MED1117,DEL005,Sur,B,4487,0.187,3,5,2,87,1566
MED0686,DEL005,Sur,B,4382,0.218,11,5,-6,-104,-1872
MED1578,DEL005,Sur,B,4231,0.16,1,5,4,256,4608
MED1300,DEL005,Sur,C,2450,0.157,1,3,2,101,1818
MED1938,DEL005,Sur,C,1964,0.117,0,2,2,138,2484
MED0151,DEL005,Sur,C,1854,0.191,2,2,0,0,0
MED1689,DEL005,Sur,C,1782,0.127,0,2,2,125,2250
MED1776,DEL005,Sur,C,1700,0.118,0,2,2,119,2142
MED1728,DEL005,Sur,C,1688,0.116,0,2,2,118,2124
MED1555,DEL005,Sur,C,1672,0.135,0,2,2,117,2106
MED0912,DEL005,Sur,C,1137,0.107,0,1,1,51,918
MED1008,DEL005,Sur,C,830,0.219,2,1,-1,-21,-378
MED0946,DEL006,Noreste,A,16265,0.175,4,12,8,552,9936
MED0161,DEL006,Noreste,A,15571,0.158,16,12,-4,-93,-1674
MED0622,DEL006,Noreste,A,14268,0.225,17,11,-6,-131,-2358
MED0637,DEL006,Noreste,A,13274,0.187,3,11,8,572,10296
MED0496,DEL006,Noreste,A,12868,0.212,16,11,-5,-103,-1854
MED1540,DEL006,Noreste,A,12495,0.241,15,10,-5,-115,-2070
MED1087,DEL006,Noreste,A,11747,0.265,21,10,-11,-177,-3186
MED0859,DEL006,Noreste,A,11177,0.21,7,10,3,113,2034
MED0952,DEL006,Noreste,A,6582,0.259,13,7,-6,-108,-1944
MED1884,DEL006,Noreste,B,6697,0.21,4,7,3,130,2340
MED1729,DEL006,Noreste,B,6465,0.225,13,7,-6,-106,-1908
MED1451,DEL006,Noreste,B,5950,0.178,3,6,3,152,2736
MED0830,DEL006,Noreste,B,5693,0.258,7,6,-1,-28,-504
MED0855,DEL006,Noreste,B,5678,0.156,1,6,5,379,6822
MED0786,DEL006,Noreste,B,5499,0.237,9,6,-3,-68,-1224
MED1375,DEL006,Noreste,B,5347,0.131,0,6,6,598,10764
MED1096,DEL006,Noreste,B,5265,0.247,15,6,-9,-128,-2304
MED0628,DEL006,Noreste,B,4982,0.254,5,6,1,31,558
MED0192,DEL006,Noreste,B,4950,0.182,1,6,5,331,5958
MED1238,DEL006,Noreste,B,4947,0.172,3,6,3,127,2286
MED0053,DEL006,Noreste,B,4758,0.107,0,5,5,502,9036
MED1855,DEL006,Noreste,B,4551,0.246,14,5,-9,-133,-2394
MED0226,DEL006,Noreste,B,4497,0.161,2,5,3,159,2862
MED0588,DEL006,Noreste,B,4456,0.178,4,5,1,36,648
MED0957,DEL006,Noreste,B,4058,0.205,7,5,-2,-46,-828
MED0845,DEL006,Noreste,B,3891,0.215,6,5,-1,-24,-432
MED0167,DEL006,Noreste,B,3674,0.222,7,4,-3,-71,-1278
MED0241,DEL006,Noreste,C,2387,0.222,3,3,0,0,0
MED1393,DEL006,Noreste,C,2318,0.192,2,3,1,37,666
MED1434,DEL006,Noreste,C,2051,0.117,0,3,3,177,3186
MED0870,DEL006,Noreste,C,2049,0.17,2,3,1,33,594
MED1453,DEL006,Noreste,C,1974,0.213,2,3,1,32,576
MED0832,DEL006,Noreste,C,1911,0.214,8,3,-5,-66,-1188
MED1486,DEL006,Noreste,C,1870,0.161,1,2,1,47,846
MED1832,DEL006,Noreste,C,1837,0.147,0,2,2,129,2322
MED0495,DEL006,Noreste,C,1716,0.201,2,2,0,0,0
MED1682,DEL006,Noreste,C,1668,0.176,2,2,0,0,0
MED0969,DEL006,Noreste,C,1647,0.241,4,2,-2,-45,-810
MED0077,DEL006,Noreste,C,1642,0.135,0,2,2,115,2070
MED0411,DEL006,Noreste,C,1591,0.117,0,2,2,112,2016
MED1173,DEL006,Noreste,C,1562,0.146,1,2,1,39,702
MED0014,DEL006,Noreste,C,1534,0.18,1,2,1,39,702
MED0802,DEL006,Noreste,C,1474,0.172,1,2,1,37,666
MED1063,DEL006,Noreste,C,1400,0.134,0,2,2,98,1764
MED1711,DEL006,Noreste,C,1375,0.196,1,2,1,35,630
MED0961,DEL006,Noreste,C,1358,0.184,1,2,1,34,612
MED1895,DEL006,Noreste,C,1325,0.123,0,2,2,93,1674
MED0265,DEL006,Noreste,C,1157,0.122,0,1,1,52,936
MED1333,DEL006,Noreste,C,1084,0.149,1,1,0,0,0
MED0677,DEL006,Noreste,C,862,0.107,0,1,1,39,702
MED0475,DEL007,Noroeste,A,13388,0.229,19,10,-9,-180,-3240
MED0287,DEL007,Noroeste,A,12681,0.264,20,10,-10,-181,-3258
MED1119,DEL007,Noroeste,A,11392,0.206,14,9,-5,-120,-2160
MED0584,DEL007,Noroeste,B,5959,0.154,3,6,3,153,2754
MED0675,DEL007,Noroeste,B,5595,0.164,2,6,4,233,4194
MED1622,DEL007,Noroeste,B,5569,0.206,5,6,1,35,630
MED0613,DEL007,Noroeste,B,5460,0.114,0,5,5,576,10368
MED0863,DEL007,Noroeste,B,5142,0.179,3,5,2,99,1782
MED1707,DEL007,Noroeste,B,4912,0.121,0,5,5,518,9324
MED0132,DEL007,Noroeste,B,4529,0.183,3,5,2,88,1584
MED0059,DEL007,Noroeste,B,4481,0.181,2,5,3,159,2862
MED1912,DEL007,Noroeste,B,4304,0.224,9,5,-4,-80,-1440
MED1610,DEL007,Noroeste,B,3401,0.171,3,4,1,38,684
MED1320,DEL007,Noroeste,C,2325,0.163,1,3,2,96,1728
MED0999,DEL007,Noroeste,C,2163,0.213,3,3,0,0,0
MED1611,DEL007,Noroeste,C,2048,0.163,1,2,1,51,918
MED1516,DEL007,Noroeste,C,2044,0.184,1,2,1,51,918
MED0378,DEL007,Noroeste,C,1963,0.201,1,2,1,49,882
MED1116,DEL007,Noroeste,C,1912,0.123,0,2,2,134,2412
MED1504,DEL007,Noroeste,C,1856,0.15,0,2,2,130,2340
MED1218,DEL007,Noroeste,C,1836,0.159,1,2,1,46,828
MED0542,DEL007,Noroeste,C,1802,0.197,3,2,-1,-29,-522
MED1554,DEL007,Noroeste,C,1793,0.161,1,2,1,45,810
MED0016,DEL007,Noroeste,C,1719,0.232,6,2,-4,-72,-1296
MED1292,DEL007,Noroeste,C,1705,0.122,0,2,2,120,2160
MED0839,DEL007,Noroeste,C,1666,0.221,2,2,0,0,0
MED1618,DEL007,Noroeste,C,1588,0.126,0,2,2,111,1998
MED0381,DEL007,Noroeste,C,1495,0.199,4,2,-2,-41,-738
MED0225,DEL007,Noroeste,C,1494,0.102,0,2,2,105,1890
MED1498,DEL007,Noroeste,C,1299,0.261,8,1,-7,-98,-1764
MED1826,DEL007,Noroeste,C,1286,0.118,0,1,1,58,1044
MED0020,DEL007,Noroeste,C,1178,0.204,3,1,-2,-49,-882
MED0224,DEL008,Centro,A,15230,0.225,14,12,-2,-51,-918
MED0341,DEL008,Centro,A,11521,0.249,24,10,-14,-196,-3528
MED0345,DEL008,Centro,A,10468,0.222,18,9,-9,-160,-2880
MED1685,DEL008,Centro,A,10310,0.209,10,9,-1,-29,-522
MED0269,DEL008,Centro,A,9589,0.263,11,9,-2,-50,-900
MED0125,DEL008,Centro,A,7843,0.223,23,8,-15,-176,-3168
MED0688,DEL008,Centro,B,6731,0.171,3,7,4,206,3708
MED0002,DEL008,Centro,B,6073,0.129,0,6,6,679,12222
MED0587,DEL008,Centro,B,5864,0.144,1,6,5,392,7056
MED0375,DEL008,Centro,B,5508,0.222,9,6,-3,-68,-1224
MED0698,DEL008,Centro,B,5348,0.223,7,6,-1,-26,-468
MED1634,DEL008,Centro,B,5347,0.121,0,6,6,598,10764
MED0323,DEL008,Centro,B,5232,0.204,6,6,0,0,0
MED1072,DEL008,Centro,B,4797,0.225,4,5,1,39,702
MED1782,DEL008,Centro,B,4647,0.133,0,5,5,490,8820
MED0181,DEL008,Centro,B,4624,0.228,5,5,0,0,0
MED0315,DEL008,Centro,B,3846,0.23,5,5,0,0,0
MED0618,DEL008,Centro,B,3579,0.152,1,4,3,187,3366
MED0649,DEL008,Centro,B,3532,0.233,4,4,0,0,0
MED1390,DEL008,Centro,B,3070,0.147,0,4,4,299,5382
MED0763,DEL008,Centro,C,2482,0.136,0,3,3,214,3852
MED0598,DEL008,Centro,C,2211,0.119,0,3,3,191,3438
MED0453,DEL008,Centro,C,2162,0.243,3,3,0,0,0
MED0064,DEL008,Centro,C,2130,0.113,0,3,3,184,3312
MED0576,DEL008,Centro,C,1902,0.188,6,2,-4,-79,-1422
MED1106,DEL008,Centro,C,1830,0.128,0,2,2,128,2304
MED1441,DEL008,Centro,C,1818,0.127,0,2,2,127,2286
MED1355,DEL008,Centro,C,1752,0.182,1,2,1,44,792
MED1743,DEL008,Centro,C,1694,0.188,2,2,0,0,0
MED1597,DEL008,Centro,C,1690,0.192,2,2,0,0,0
MED1813,DEL008,Centro,C,1653,0.122,0,2,2,116,2088
MED0114,DEL008,Centro,C,1652,0.236,8,2,-6,-84,-1512
MED1981,DEL008,Centro,C,1628,0.169,1,2,1,41,738
MED1322,DEL008,Centro,C,1626,0.159,1,2,1,41,738
MED1007,DEL008,Centro,C,1611,0.192,2,2,0,0,0
MED1182,DEL008,Centro,C,1594,0.159,1,2,1,40,720
MED0773,DEL008,Centro,C,1464,0.161,1,2,1,37,666
MED1887,DEL008,Centro,C,1461,0.136,1,2,1,37,666
MED1022,DEL008,Centro,C,1436,0.216,3,2,-1,-23,-414
MED0182,DEL008,Centro,C,1433,0.116,0,2,2,100,1800
MED0160,DEL008,Centro,C,1416,0.181,1,2,1,36,648
MED0990,DEL008,Centro,C,1325,0.215,3,2,-1,-21,-378
MED1080,DEL008,Centro,C,1318,0.124,0,2,2,92,1656
MED0208,DEL008,Centro,C,1218,0.181,1,1,0,0,0
MED0866,DEL008,Centro,C,441,0.17,1,0,-1,-20,-360
MED1818,DEL009,Levante,A,14229,0.224,6,9,3,175,3150
MED1553,DEL009,Levante,A,12334,0.149,1,8,7,935,16830
MED1837,DEL009,Levante,A,11715,0.199,4,8,4,274,4932
MED1491,DEL009,Levante,A,9960,0.253,23,7,-16,-264,-4752
MED0685,DEL009,Levante,B,6416,0.164,2,5,3,227,4086
MED0130,DEL009,Levante,B,5644,0.199,3,5,2,109,1962
MED1318,DEL009,Levante,B,5552,0.219,5,5,0,0,0
MED0303,DEL009,Levante,B,5445,0.126,1,5,4,330,5940
MED0482,DEL009,Levante,B,5211,0.225,4,5,1,43,774
MED0823,DEL009,Levante,B,5138,0.2,4,4,0,0,0
MED0933,DEL009,Levante,B,5036,0.196,2,4,2,137,2466
MED0144,DEL009,Levante,B,4703,0.209,6,4,-2,-68,-1224
MED0858,DEL009,Levante,B,4588,0.208,3,4,1,51,918
MED1702,DEL009,Levante,B,4228,0.151,2,4,2,115,2070
MED1879,DEL009,Levante,B,4015,0.223,4,4,0,0,0
MED0981,DEL009,Levante,B,3951,0.192,3,4,1,44,792
MED0110,DEL009,Levante,B,3792,0.171,2,3,1,61,1098
MED1171,DEL009,Levante,B,3788,0.238,5,3,-2,-73,-1314
MED1971,DEL009,Levante,B,3720,0.188,5,3,-2,-72,-1296
MED0464,DEL009,Levante,C,2570,0.119,0,2,2,180,3240
MED1210,DEL009,Levante,C,2426,0.176,2,2,0,0,0
MED0925,DEL009,Levante,C,1996,0.106,0,2,2,140,2520
MED1079,DEL009,Levante,C,1979,0.237,10,2,-8,-112,-2016
MED1281,DEL009,Levante,C,1926,0.127,0,2,2,135,2430
MED1483,DEL009,Levante,C,1908,0.237,4,2,-2,-52,-936
MED0824,DEL009,Levante,C,1880,0.112,0,2,2,132,2376
MED1961,DEL009,Levante,C,1841,0.223,4,2,-2,-50,-900
MED0578,DEL009,Levante,C,1835,0.22,2,2,0,0,0
MED1211,DEL009,Levante,C,1827,0.124,0,2,2,128,2304
MED1120,DEL009,Levante,C,1822,0.119,0,2,2,128,2304
MED1122,DEL009,Levante,C,1809,0.203,2,2,0,0,0
MED1295,DEL009,Levante,C,1773,0.211,4,2,-2,-48,-864
MED1929,DEL009,Levante,C,1553,0.126,0,1,1,70,1260
MED1908,DEL009,Levante,C,1538,0.18,1,1,0,0,0
MED1188,DEL009,Levante,C,1508,0.203,2,1,-1,-38,-684
MED1406,DEL009,Levante,C,1487,0.201,2,1,-1,-37,-666
MED1882,DEL009,Levante,C,1328,0.15,1,1,0,0,0
MED0109,DEL009,Levante,C,1200,0.259,7,1,-6,-86,-1548
MED1326,DEL010,Sur,A,14316,0.239,23,14,-9,-123,-2214
MED0308,DEL010,Sur,A,13710,0.219,8,13,5,169,3042
MED1616,DEL010,Sur,A,12666,0.259,21,13,-8,-112,-2016
MED1615,DEL010,Sur,A,12623,0.224,20,13,-7,-102,-1836
MED0368,DEL010,Sur,A,12409,0.213,10,13,3,77,1386
MED0553,DEL010,Sur,B,6568,0.184,3,8,5,227,4086
MED0563,DEL010,Sur,B,5718,0.177,1,8,7,433,7794
MED0720,DEL010,Sur,B,5087,0.194,3,7,4,155,2790
MED1703,DEL010,Sur,B,4811,0.247,12,7,-5,-70,-1260
MED1352,DEL010,Sur,B,4673,0.184,5,7,2,52,936
MED0921,DEL010,Sur,B,4356,0.236,4,6,2,63,1134
MED1143,DEL010,Sur,B,4013,0.217,7,6,-1,-20,-360
MED0960,DEL010,Sur,B,3948,0.224,4,6,2,57,1026
MED1646,DEL010,Sur,B,3904,0.134,0,6,6,436,7848
MED1558,DEL010,Sur,B,3719,0.215,4,6,2,54,972
MED1740,DEL010,Sur,B,3713,0.125,1,6,5,248,4464
MED0010,DEL010,Sur,B,3137,0.173,2,5,3,111,1998
MED1974,DEL010,Sur,C,2205,0.273,19,4,-15,-95,-1710
MED1280,DEL010,Sur,C,2067,0.258,12,4,-8,-70,-1260
MED0607,DEL010,Sur,C,1975,0.171,2,4,2,54,972
MED0212,DEL010,Sur,C,1882,0.19,2,3,1,30,540
MED1112,DEL010,Sur,C,1839,0.219,3,3,0,0,0
MED0035,DEL010,Sur,C,1833,0.207,4,3,-1,-20,-360
MED0007,DEL010,Sur,C,1794,0.134,0,3,3,155,2790
MED1726,DEL010,Sur,C,1770,0.134,0,3,3,153,2754
MED1807,DEL010,Sur,C,1724,0.264,16,3,-13,-88,-1584
MED0647,DEL010,Sur,C,1657,0.24,4,3,-1,-18,-324
MED1699,DEL010,Sur,C,1649,0.186,1,3,2,68,1224
MED1038,DEL010,Sur,C,1630,0.207,2,3,1,26,468
MED0443,DEL010,Sur,C,1508,0.167,1,3,2,62,1116
MED0683,DEL010,Sur,C,1403,0.218,2,3,1,23,414
MED0015,DEL010,Sur,C,1397,0.112,0,3,3,120,2160
MED0370,DEL010,Sur,C,1295,0.183,1,2,1,33,594
MED1648,DEL010,Sur,C,1260,0.177,1,2,1,32,576
MED1315,DEL010,Sur,C,1179,0.183,2,2,0,0,0
MED1819,DEL010,Sur,C,1007,0.141,0,2,2,71,1278
MED1988,DEL011,Noreste,A,15401,0.179,3,11,8,663,11934
MED0404,DEL011,Noreste,A,12407,0.209,19,9,-10,-201,-3618
MED1658,DEL011,Noreste,A,11917,0.201,6,9,3,146,2628
MED1977,DEL011,Noreste,A,11533,0.258,17,9,-8,-165,-2970
MED1572,DEL011,Noreste,A,10930,0.232,20,9,-11,-187,-3366
MED0597,DEL011,Noreste,B,6226,0.239,6,6,0,0,0
MED0119,DEL011,Noreste,B,5826,0.117,0,6,6,651,11718
